Year,City,Population 25 years and over - Less than 9th grade,Percent Population 25 years and over - Less than 9th grade,Population 25 years and over - 9th to12th (No Diploma),Percent Population 25 years and over - 9th to12th (No Diploma),Population 25 years and over - High School Graduate (and equivalent),Percent Population 25 years and over - High School Graduate (and equivalent),"Population 25 years and over - Some college, no degree","Percent Population 25 years and over - Some college, no degree",Population 25 years and over - Associate's degree,Percent Population 25 years and over - Associate's degree,Population 25 years and over - Bachelor's degree,Percent Population 25 years and over - Bachelor's degree,Population 25 years and over - Graduate or Prefessional Degree,Percent Population 25 years and over - Graduate or Prefessional Degree,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over,Violent Crimes Sum,Unemployment Rate,Income,House price mean,% All Families,Total,Total Occupied,Renter occupied,Crime_Rate_per_100k,Percent Home Occupied,Percent Renter Occupied,Percent 25+,Percent 14-,Percent 15 to 24,Percent Uneducated,Percent Higher Education,Sum Uneducated,Sum Higher Education
2010,Downey,8966,12.5,7063,9.9,20281,28.4,14570,20.4,7016,9.8,9237,12.9,4385,6.1,111922.0,6043.0,5.4,8447.0,7.5,9241.0,8.3,8559.0,7.6,8114.0,7.2,15848.0,14.2,17479.0,15.6,16159.0,14.4,6327.0,5.7,4409.0,3.9,6110.0,5.5,3089.0,2.8,2097.0,1.9,394.0,13.9,34108.0,381950.9,7.5,34108.0,16882.0,17226.0,352.0308786476296,49.495719479301044,50.504280520698956,62.099999999999994,21.200000000000003,14.8,22.4,28.8,16029,20638
2010,Fairfield,4968,7.5,5400,8.2,17856,27.1,17819,27.0,5751,8.7,9873,15.0,4259,6.5,105580.0,7418.0,7.0,9082.0,8.6,8667.0,8.2,6823.0,6.5,7664.0,7.3,16074.0,15.2,13886.0,13.2,15683.0,14.9,5951.0,5.6,3991.0,3.8,6162.0,5.8,3442.0,3.3,737.0,0.7,502.0,12.2,34404.0,223137.9,9.5,34404.0,20600.0,13804.0,475.4688387952264,59.87675851645158,40.12324148354842,61.79999999999999,23.799999999999997,13.8,15.7,30.2,10368,19883
2010,Fullerton,6834,8.0,6631,7.7,13491,15.8,22105,25.8,7149,8.4,20563,24.0,8837,10.3,135541.0,8394.0,6.2,8931.0,6.6,10050.0,7.4,10236.0,7.6,12320.0,9.1,19046.0,14.1,19344.0,14.3,18977.0,14.0,5675.0,4.2,6416.0,4.7,8007.0,5.9,5269.0,3.9,2876.0,2.1,425.0,11.5,42935.0,450221.5,11.1,42935.0,23196.0,19739.0,313.5582591245453,54.02585303365552,45.97414696634448,61.1,20.200000000000003,16.7,15.7,42.699999999999996,13465,36549
2010,Lake Forest,3181,6.4,1532,3.1,7684,15.4,10657,21.4,4652,9.3,14598,29.2,7611,15.2,77482.0,5582.0,7.2,6028.0,7.8,7075.0,9.1,5374.0,6.9,3508.0,4.5,8471.0,10.9,13438.0,17.3,13716.0,17.7,3570.0,4.6,2859.0,3.7,4328.0,5.6,2362.0,3.0,1171.0,1.5,92.0,8.0,26602.0,455295.9,6.3,26602.0,18428.0,8174.0,118.73725510441135,69.27298699345914,30.727013006540858,62.80000000000001,24.1,11.4,9.5,53.7,4713,26861
2010,Lakewood,3944,7.5,4647,8.8,11066,21.0,13584,25.8,5396,10.3,8872,16.9,5115,9.7,80154.0,5941.0,7.4,5924.0,7.4,4485.0,5.6,5716.0,7.1,5464.0,6.8,11895.0,14.8,8375.0,10.4,12046.0,15.0,6512.0,8.1,4221.0,5.3,4750.0,5.9,3353.0,4.2,1472.0,1.8,296.0,11.4,26485.0,389600.0,8.3,26485.0,19285.0,7200.0,369.2891184469895,72.81480083065887,27.185199169341136,63.7,20.4,13.899999999999999,16.3,36.9,8591,19383
2010,Milpitas,3363,7.1,4103,8.6,8620,18.2,7713,16.2,4480,9.4,12182,25.7,7009,14.8,67011.0,3816.0,5.7,3689.0,5.5,4196.0,6.3,3842.0,5.7,3998.0,6.0,12483.0,18.6,11290.0,16.8,9933.0,14.8,4524.0,6.8,3796.0,5.7,3247.0,4.8,1898.0,2.8,299.0,0.4,91.0,8.6,19127.0,475092.7,3.4,19127.0,12068.0,7059.0,135.79860022981302,63.09405552360538,36.90594447639462,70.3,17.5,11.7,15.7,49.9,7466,23671
2010,Napa,6597,12.8,3835,7.4,11181,21.7,12344,23.9,4658,9.0,8396,16.3,4570,8.9,77122.0,5685.0,7.4,5239.0,6.8,4318.0,5.6,5771.0,7.5,4528.0,5.9,9602.0,12.5,10710.0,13.9,10878.0,14.1,4822.0,6.3,5016.0,6.5,4135.0,5.4,4611.0,6.0,1807.0,2.3,245.0,11.6,28681.0,397573.8,12.8,28681.0,16706.0,11975.0,317.6784834418194,58.247620375858574,41.75237962414142,64.69999999999999,19.799999999999997,13.4,20.200000000000003,34.2,10432,17624
2010,Norwalk,10214,15.4,8083,12.2,16887,25.5,14604,22.1,4338,6.6,8311,12.6,3734,5.6,105686.0,6283.0,5.9,8693.0,8.2,8566.0,8.1,8697.0,8.2,7276.0,6.9,14332.0,13.6,16947.0,16.0,14158.0,13.4,4706.0,4.5,5136.0,4.9,6149.0,5.8,3326.0,3.1,1417.0,1.3,449.0,12.4,27796.0,275581.0,12.9,27796.0,17584.0,10212.0,424.8434040459474,63.260900849043026,36.739099150956974,61.3,22.2,15.1,27.6,24.799999999999997,18297,16383
2010,Pittsburg,3940,10.0,4046,10.2,12518,31.7,10321,26.1,2755,7.0,3755,9.5,2177,5.5,63510.0,3896.0,6.1,5318.0,8.4,4930.0,7.8,4454.0,7.0,5400.0,8.5,11323.0,17.8,8513.0,13.4,7828.0,12.3,2532.0,4.0,3744.0,5.9,3410.0,5.4,1583.0,2.5,579.0,0.9,154.0,13.2,18231.0,156650.2,13.5,18231.0,10804.0,7427.0,242.48149897653911,59.261697109319286,40.738302890680714,61.3,22.3,15.5,20.2,22.0,7986,8687
2010,Redwood City,2868,5.6,4052,7.9,10426,20.3,11043,21.5,2519,4.9,12356,24.1,8091,15.8,77013.0,6459.0,8.4,4475.0,5.8,6212.0,8.1,3910.0,5.1,4602.0,6.0,10157.0,13.2,12822.0,16.6,11254.0,14.6,4859.0,6.3,3569.0,4.6,3874.0,5.0,2839.0,3.7,1981.0,2.6,174.0,9.8,26963.0,672236.7,4.0,26963.0,14604.0,12359.0,225.9358809551634,54.163112413307125,45.836887586692875,64.0,22.299999999999997,11.1,13.5,44.800000000000004,6920,22966
2010,San Leandro,5566,9.1,5298,8.7,16039,26.3,14221,23.3,4032,6.6,11748,19.2,4159,6.8,85159.0,4056.0,4.8,5485.0,6.4,4675.0,5.5,4825.0,5.7,5055.0,5.9,12600.0,14.8,11731.0,13.8,12986.0,15.2,5691.0,6.7,6848.0,8.0,6404.0,7.5,2800.0,3.3,2003.0,2.4,347.0,13.2,29940.0,355381.7,9.6,29940.0,17651.0,12289.0,407.47307976843314,58.954575818303276,41.045424181696724,69.3,16.7,11.600000000000001,17.799999999999997,32.6,10864,19939
2010,Santa Barbara,6424,10.4,4131,6.7,8506,13.8,12641,20.5,4625,7.5,13836,22.4,11537,18.7,88579.0,5495.0,6.2,5794.0,6.5,2722.0,3.1,5714.0,6.5,7154.0,8.1,15937.0,18.0,11425.0,12.9,10762.0,12.1,5813.0,6.6,4273.0,4.8,5839.0,6.6,4774.0,5.4,2877.0,3.2,341.0,7.9,33220.0,810797.0,11.7,33220.0,14389.0,18831.0,384.9670915228214,43.31426851294401,56.68573148705599,66.4,15.799999999999999,14.6,17.1,48.599999999999994,10555,29998
2010,Temecula,1384,2.4,3509,6.0,12777,21.9,16383,28.1,6437,11.0,12456,21.4,5363,9.2,100751.0,7980.0,7.9,7865.0,7.8,9835.0,9.8,9082.0,9.0,7680.0,7.6,12753.0,12.7,15616.0,15.5,15484.0,15.4,4335.0,4.3,3385.0,3.4,3529.0,3.5,2720.0,2.7,487.0,0.5,74.0,13.9,31261.0,271721.7,11.1,31261.0,21602.0,9659.0,73.44840249724568,69.10207606922363,30.897923930776365,57.5,25.5,16.6,8.4,41.599999999999994,4893,24256
2010,Tracy,3851,7.8,3038,6.2,13508,27.5,13292,27.0,3522,7.2,9651,19.6,2279,4.6,83223.0,7025.0,8.4,8032.0,9.7,6834.0,8.2,7270.0,8.7,4921.0,5.9,10580.0,12.7,14055.0,16.9,12420.0,14.9,3235.0,3.9,2842.0,3.4,4058.0,4.9,1171.0,1.4,780.0,0.9,135.0,18.3,25809.0,246619.1,12.5,25809.0,16533.0,9276.0,162.2147723586028,64.05904916889456,35.940950831105425,58.099999999999994,26.3,14.6,14.0,31.400000000000002,6889,15452
2010,Turlock,4636,10.5,4556,10.3,11910,27.0,8679,19.7,3045,6.9,8230,18.6,3100,7.0,68663.0,4799.0,7.0,3822.0,5.6,3691.0,5.4,6591.0,9.6,5604.0,8.2,11479.0,16.7,8839.0,12.9,10030.0,14.6,3165.0,4.6,2822.0,4.1,4211.0,6.1,2725.0,4.0,885.0,1.3,466.0,12.7,23960.0,177140.9,11.3,23960.0,14438.0,9522.0,678.6770167339032,60.25876460767946,39.74123539232053,63.00000000000001,18.0,17.799999999999997,20.8,32.5,9192,14375
2010,Tustin,5200,11.1,3625,7.7,7873,16.8,8842,18.9,3182,6.8,11726,25.0,6363,13.6,75769.0,5694.0,7.5,6582.0,8.7,6736.0,8.9,4575.0,6.0,5371.0,7.1,12255.0,16.2,13296.0,17.5,8832.0,11.7,3686.0,4.9,2514.0,3.3,4224.0,5.6,1720.0,2.3,284.0,0.4,128.0,10.4,24057.0,454501.0,10.6,24057.0,12415.0,11642.0,168.93452467367922,51.606600989317045,48.39339901068296,61.5,25.1,13.1,18.8,45.4,8825,21271
2010,Union City,2730,6.1,2412,5.4,11961,26.9,9125,20.5,2524,5.7,11444,25.7,4319,9.7,69696.0,5052.0,7.2,5762.0,8.3,6168.0,8.8,3655.0,5.2,4544.0,6.5,11079.0,15.9,9923.0,14.2,8904.0,12.8,4251.0,6.1,3222.0,4.6,4274.0,6.1,2302.0,3.3,560.0,0.8,324.0,11.4,20822.0,444894.5,5.4,20822.0,13756.0,7066.0,464.87603305785126,66.06473921813466,33.93526078186533,63.00000000000001,24.3,11.7,11.5,41.1,5142,18287
2010,Vista,9858,16.9,5889,10.1,12355,21.2,13224,22.7,5051,8.7,8638,14.8,3182,5.5,94170.0,7206.0,7.7,7027.0,7.5,6631.0,7.0,5743.0,6.1,9366.0,9.9,15156.0,16.1,11248.0,11.9,13352.0,14.2,5484.0,5.8,4425.0,4.7,4413.0,4.7,2388.0,2.5,1731.0,1.8,405.0,10.5,29982.0,321869.3,8.8,29982.0,15799.0,14183.0,430.0732717425932,52.69495030351544,47.30504969648456,59.900000000000006,22.2,16.0,27.0,29.0,15747,16871
2010,West Covina,6105,9.2,6607,10.0,15584,23.5,15897,24.0,5109,7.7,11551,17.4,5416,8.2,106221.0,8321.0,7.8,6585.0,6.2,7530.0,7.1,8412.0,7.9,9104.0,8.6,12644.0,11.9,15607.0,14.7,13776.0,13.0,5058.0,4.8,5233.0,4.9,6716.0,6.3,4815.0,4.5,2420.0,2.3,318.0,16.2,31286.0,357576.5,6.0,31286.0,18826.0,12460.0,299.3758296382071,60.17387969059643,39.82612030940357,60.099999999999994,21.1,16.5,19.2,33.3,12712,22076
2010,Westminster,8597,14.3,7745,12.9,14951,24.9,12868,21.4,4671,7.8,8681,14.5,2562,4.3,89971.0,5417.0,6.0,5674.0,6.3,6942.0,7.7,5576.0,6.2,6287.0,7.0,10655.0,11.8,11699.0,13.0,14032.0,15.6,5477.0,6.1,5223.0,5.8,6571.0,7.3,5055.0,5.6,1363.0,1.5,259.0,15.0,26838.0,436867.9,17.3,26838.0,14627.0,12211.0,287.8705360616198,54.50108055741859,45.49891944258142,65.19999999999999,20.0,13.2,27.200000000000003,26.6,16342,15914
2010,Whittier,3635,6.5,6249,11.2,13085,23.5,15352,27.5,5264,9.4,7702,13.8,4509,8.1,85433.0,5702.0,6.7,5247.0,6.1,5532.0,6.5,7082.0,8.3,6074.0,7.1,13053.0,15.3,10697.0,12.5,11967.0,14.0,6498.0,7.6,3722.0,4.4,4362.0,5.1,3085.0,3.6,2412.0,2.8,343.0,10.7,27969.0,335493.6,11.9,27969.0,15020.0,12949.0,401.4842039961139,53.70231327541206,46.29768672458794,62.5,19.3,15.4,17.7,31.299999999999997,9884,17475
2011,Alhambra,7768,12.5,5472,8.8,12470,20.1,12144,19.6,4347,7.0,13231,21.3,6657,10.7,83703.0,3172.0,3.8,4476.0,5.3,5385.0,6.4,3592.0,4.3,4989.0,6.0,14771.0,17.6,10118.0,12.1,12933.0,15.5,7023.0,8.4,5551.0,6.6,5665.0,6.8,3643.0,4.4,2385.0,2.8,152.0,8.2,28816.0,419268.5,11.2,28816.0,11493.0,17323.0,181.59444703296177,39.8840921710161,60.11590782898389,71.4,15.5,10.3,21.3,39.0,13240,24235
2011,Buena Park,4059,7.7,5348,10.1,12491,23.6,11212,21.2,3585,6.8,12644,23.9,3592,6.8,81754.0,4298.0,5.3,6432.0,7.9,5266.0,6.4,5919.0,7.2,6908.0,8.4,10202.0,12.5,12619.0,15.4,11355.0,13.9,4977.0,6.1,3673.0,4.5,6173.0,7.6,2903.0,3.6,1029.0,1.3,230.0,5.9,22487.0,348050.8,8.8,22487.0,13528.0,8959.0,281.3318002788854,60.159203095121626,39.840796904878374,63.6,19.6,15.600000000000001,17.8,37.5,9407,19821
2011,Camarillo,2474,5.7,1311,3.0,8450,19.4,10560,24.2,5063,11.6,9305,21.3,6466,14.8,65904.0,4446.0,6.7,4543.0,6.9,6358.0,9.6,4068.0,6.2,2860.0,4.3,8307.0,12.6,9544.0,14.5,8665.0,13.1,4635.0,7.0,2398.0,3.6,4246.0,6.4,3959.0,6.0,1875.0,2.8,79.0,10.8,22101.0,445528.9,5.9,22101.0,15842.0,6259.0,119.87132799223112,71.68001447898286,28.31998552101715,63.2,23.200000000000003,10.5,8.7,47.7,3785,20834
2011,Carson,6421,10.6,6804,11.2,12857,21.2,12124,20.0,6353,10.5,12210,20.1,3945,6.5,92387.0,5761.0,6.2,4273.0,4.6,7006.0,7.6,6987.0,7.6,7646.0,8.3,12202.0,13.2,10872.0,11.8,14857.0,16.1,4094.0,4.4,5926.0,6.4,8135.0,8.8,3529.0,3.8,1099.0,1.2,444.0,17.5,24849.0,285983.5,5.3,24849.0,19783.0,5066.0,480.58709558704146,79.61286168457484,20.38713831542517,64.5,18.4,15.9,21.799999999999997,37.1,13225,22508
2011,Chino,3159,6.0,5065,9.6,15947,30.2,11301,21.4,4720,8.9,9695,18.4,2872,5.4,79061.0,5438.0,6.9,5677.0,7.2,4719.0,6.0,5534.0,7.0,4934.0,6.2,13587.0,17.2,13317.0,16.8,10489.0,13.3,3366.0,4.3,3759.0,4.8,5425.0,6.9,2489.0,3.1,327.0,0.4,247.0,10.9,22161.0,299989.6,9.2,22161.0,15986.0,6175.0,312.4169944726224,72.13573394702405,27.86426605297595,66.39999999999999,20.1,13.2,15.6,32.699999999999996,8224,17287
2011,Citrus Heights,1789,3.2,3494,6.3,15361,27.8,18122,32.8,5847,10.6,7459,13.5,3225,5.8,84342.0,6437.0,7.6,4878.0,5.8,5073.0,6.0,5444.0,6.5,7213.0,8.6,11464.0,13.6,10669.0,12.6,13910.0,16.5,4819.0,5.7,4871.0,5.8,5641.0,6.7,2601.0,3.1,1322.0,1.6,334.0,16.2,31170.0,154532.6,11.7,31170.0,16789.0,14381.0,396.006734485784,53.86268848251524,46.13731151748476,64.0,19.4,15.1,9.5,29.9,5283,16531
2011,Clovis,3457,5.6,5195,8.5,13834,22.6,16152,26.4,5389,8.8,10971,17.9,6204,10.1,96909.0,7061.0,7.3,7820.0,8.1,6943.0,7.2,7340.0,7.6,6543.0,6.8,13043.0,13.5,11934.0,12.3,13982.0,14.4,6203.0,6.4,6260.0,6.5,5783.0,6.0,2900.0,3.0,1097.0,1.1,211.0,14.6,33627.0,210791.5,7.9,33627.0,21847.0,11780.0,217.73003539402947,64.96862640140363,35.03137359859637,62.1,22.599999999999998,14.399999999999999,14.1,36.8,8652,22564
2011,Daly City,5329,7.3,5145,7.1,16106,22.1,17157,23.5,6784,9.3,18423,25.3,4007,5.5,102368.0,6188.0,6.0,5399.0,5.3,5244.0,5.1,4876.0,4.8,7710.0,7.5,16820.0,16.4,15750.0,15.4,12608.0,12.3,6887.0,6.7,6623.0,6.5,8592.0,8.4,3836.0,3.7,1835.0,1.8,184.0,10.3,30184.0,427025.1,6.1,30184.0,17198.0,12986.0,179.74366989684276,56.97720646700238,43.02279353299762,69.4,16.4,12.3,14.399999999999999,40.1,10474,29214
2011,Downey,8854,12.3,7997,11.2,20672,28.8,15552,21.7,4934,6.9,10487,14.6,3215,4.5,112578.0,6756.0,6.0,8678.0,7.7,9881.0,8.8,8088.0,7.2,7464.0,6.6,15539.0,13.8,17982.0,16.0,13762.0,12.2,6129.0,5.4,7250.0,6.4,5867.0,5.2,3140.0,2.8,2042.0,1.8,390.0,12.0,33642.0,361299.4,9.3,33642.0,16866.0,16776.0,346.4264776421681,50.133761369716424,49.86623863028357,61.8,22.5,13.8,23.5,26.0,16851,18636
2011,El Cajon,4534,7.2,9225,14.5,18105,28.6,15382,24.3,4238,6.7,8091,12.8,3828,6.0,100931.0,8344.0,8.3,5963.0,5.9,7309.0,7.2,6260.0,6.2,9652.0,9.6,16171.0,16.0,11409.0,11.3,13299.0,13.2,5251.0,5.2,4801.0,4.8,7158.0,7.1,3439.0,3.4,1875.0,1.9,529.0,16.1,32696.0,311995.5,19.2,32696.0,13129.0,19567.0,524.1204387155581,40.15475899192562,59.84524100807438,61.0,21.400000000000002,15.8,21.7,25.5,13759,16157
2011,Fairfield,3509,5.4,4357,6.7,15570,23.9,20842,32.0,5980,9.2,11273,17.3,3663,5.6,106116.0,7149.0,6.7,9159.0,8.6,7146.0,6.7,8835.0,8.3,8633.0,8.1,15827.0,14.9,15059.0,14.2,14444.0,13.6,5016.0,4.7,3769.0,3.6,5883.0,5.5,4002.0,3.8,1194.0,1.1,425.0,9.8,32678.0,211409.6,11.5,32678.0,18640.0,14038.0,400.5051076180783,57.04143460432095,42.95856539567905,60.300000000000004,22.0,16.4,12.100000000000001,32.099999999999994,7866,20916
2011,Indio,5108,10.8,7061,14.9,12745,27.0,11693,24.7,3397,7.2,4459,9.4,2792,5.9,77789.0,6169.0,7.9,5814.0,7.5,7819.0,10.1,5505.0,7.1,5227.0,6.7,9080.0,11.7,10257.0,13.2,8516.0,10.9,4380.0,5.6,4466.0,5.7,6468.0,8.3,2868.0,3.7,1220.0,1.6,430.0,18.4,23812.0,177249.8,18.6,23812.0,15263.0,8549.0,552.7773849773104,64.09793381488326,35.90206618511675,59.10000000000001,25.5,13.8,25.700000000000003,22.5,12169,10648
2011,Lake Forest,2472,4.7,1542,2.9,6168,11.7,13014,24.7,5394,10.3,17728,33.7,6298,12.0,78460.0,5141.0,6.6,5074.0,6.5,5920.0,7.5,5638.0,7.2,4071.0,5.2,11368.0,14.5,11864.0,15.1,13184.0,16.8,4443.0,5.7,4405.0,5.6,4485.0,5.7,2245.0,2.9,622.0,0.8,89.0,7.1,26178.0,431234.4,4.3,26178.0,18696.0,7482.0,113.43359673719094,71.41874856749942,28.581251432500572,66.30000000000001,20.6,12.4,7.6,56.0,4014,29420
2011,Livermore,1640,2.9,2508,4.5,10872,19.6,13592,24.4,6947,12.5,12656,22.8,7388,13.3,82056.0,5960.0,7.3,6353.0,7.7,5551.0,6.8,4020.0,4.9,4569.0,5.6,11133.0,13.6,12448.0,15.2,13259.0,16.2,4921.0,6.0,4782.0,5.8,4889.0,6.0,3025.0,3.7,1146.0,1.4,267.0,7.0,28674.0,432604.6,5.2,28674.0,19473.0,9201.0,325.3875402164375,67.9116970077422,32.088302992257795,66.5,21.8,10.5,7.4,48.6,4148,26991
2011,Milpitas,2640,5.6,3096,6.5,10072,21.2,9706,20.4,3654,7.7,11565,24.3,6762,14.2,67811.0,4309.0,6.4,4814.0,7.1,3418.0,5.0,3955.0,5.8,3820.0,5.6,11378.0,16.8,10485.0,15.5,10559.0,15.6,4496.0,6.6,3951.0,5.8,3791.0,5.6,2495.0,3.7,340.0,0.5,102.0,8.3,19392.0,446577.7,4.3,19392.0,12640.0,6752.0,150.4180737638436,65.18151815181518,34.81848184818482,69.6,18.5,11.399999999999999,12.1,46.2,5736,21981
