City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
"Huntington Beach city, California",,,,,,,,,,,,,,
Estimate,"200,658","9,170","10,004","12,546","13,021","10,825","26,741","24,731","33,298","15,068","12,133","19,533","9,488","4,100"
Percent,"200,658",4.60%,5.00%,6.30%,6.50%,5.40%,13.30%,12.30%,16.60%,7.50%,6.00%,9.70%,4.70%,2.00%
"Indio city, California",,,,,,,,,,,,,,
Estimate,"91,235","4,548","3,957","2,757","3,518","5,134","11,241","15,044","12,096","7,626","5,919","12,672","5,814",909
Percent,"91,235",5.00%,4.30%,3.00%,3.90%,5.60%,12.30%,16.50%,13.30%,8.40%,6.50%,13.90%,6.40%,1.00%
"Inglewood city, California",,,,,,,,,,,,,,
Estimate,"109,427","7,348","9,625","7,124","6,914","6,399","17,062","14,793","14,163","8,180","5,462","7,734","2,992","1,631"
Percent,"109,427",6.70%,8.80%,6.50%,6.30%,5.80%,15.60%,13.50%,12.90%,7.50%,5.00%,7.10%,2.70%,1.50%
"Irvine city, California",,,,,,,,,,,,,,
Estimate,"282,584","18,097","16,849","18,384","21,718","26,480","45,836","41,623","35,670","15,900","12,345","17,668","8,628","3,386"
Percent,"282,584",6.40%,6.00%,6.50%,7.70%,9.40%,16.20%,14.70%,12.60%,5.60%,4.40%,6.30%,3.10%,1.20%
"Jurupa Valley city, California",,,,,,,,,,,,,,
Estimate,"108,400","7,698","8,594","7,767","8,270","8,834","15,296","15,674","11,565","5,950","5,922","8,133","2,761","1,936"
Percent,"108,400",7.10%,7.90%,7.20%,7.60%,8.10%,14.10%,14.50%,10.70%,5.50%,5.50%,7.50%,2.50%,1.80%
"Laguna Niguel city, California",,,,,,,,,,,,,,
Estimate,"66,265","2,729","3,277","3,221","3,767","5,068","8,788","7,228","9,506","4,998","6,416","6,762","3,049","1,456"
Percent,"66,265",4.10%,4.90%,4.90%,5.70%,7.60%,13.30%,10.90%,14.30%,7.50%,9.70%,10.20%,4.60%,2.20%
"Lake Elsinore city, California",,,,,,,,,,,,,,
Estimate,"68,187","6,844","5,187","5,025","4,855","6,269","10,251","6,806","8,963","4,716","1,683","4,031","3,097",460
Percent,"68,187",10.00%,7.60%,7.40%,7.10%,9.20%,15.00%,10.00%,13.10%,6.90%,2.50%,5.90%,4.50%,0.70%
"Lake Forest city, California",,,,,,,,,,,,,,
Estimate,"85,619","7,400","3,385","5,384","4,579","3,237","12,899","13,526","12,326","5,231","4,724","9,086","2,645","1,197"
Percent,"85,619",8.60%,4.00%,6.30%,5.30%,3.80%,15.10%,15.80%,14.40%,6.10%,5.50%,10.60%,3.10%,1.40%
"Lakewood city, California",,,,,,,,,,,,,,
Estimate,"80,132","5,512","3,025","4,028","4,268","6,017","14,533","9,782","11,682","6,613","5,087","5,305","3,048","1,232"
Percent,"80,132",6.90%,3.80%,5.00%,5.30%,7.50%,18.10%,12.20%,14.60%,8.30%,6.30%,6.60%,3.80%,1.50%
"Lancaster city, California",,,,,,,,,,,,,,
Estimate,"159,038","15,872","11,154","14,181","12,273","9,641","22,853","20,642","18,901","9,656","7,928","9,265","5,060","1,612"
Percent,"159,038",10.00%,7.00%,8.90%,7.70%,6.10%,14.40%,13.00%,11.90%,6.10%,5.00%,5.80%,3.20%,1.00%
"Livermore city, California",,,,,,,,,,,,,,
Estimate,"90,258","7,682","4,578","5,977","4,092","4,151","12,449","12,691","11,785","8,707","5,835","7,206","3,733","1,372"
Percent,"90,258",8.50%,5.10%,6.60%,4.50%,4.60%,13.80%,14.10%,13.10%,9.60%,6.50%,8.00%,4.10%,1.50%
"Lodi city, California",,,,,,,,,,,,,,
Estimate,"66,995","5,174","5,646","5,259","2,960","4,121","9,981","8,651","5,385","5,097","4,609","5,616","2,886","1,610"
Percent,"66,995",7.70%,8.40%,7.80%,4.40%,6.20%,14.90%,12.90%,8.00%,7.60%,6.90%,8.40%,4.30%,2.40%
"Long Beach city, California",,,,,,,,,,,,,,
Estimate,"467,353","28,267","25,590","28,182","26,656","36,053","82,195","63,490","64,419","30,121","29,427","32,423","13,467","7,063"
Percent,"467,353",6.00%,5.50%,6.00%,5.70%,7.70%,17.60%,13.60%,13.80%,6.40%,6.30%,6.90%,2.90%,1.50%
"Los Angeles city, California",,,,,,,,,,,,,,
Estimate,"3,990,469","228,554","218,804","226,674","235,640","295,953","732,538","574,760","513,173","238,857","213,089","295,610","147,062","69,755"
Percent,"3,990,469",5.70%,5.50%,5.70%,5.90%,7.40%,18.40%,14.40%,12.90%,6.00%,5.30%,7.40%,3.70%,1.70%
"Lynwood city, California",,,,,,,,,,,,,,
Estimate,"70,492","6,178","4,865","5,846","4,709","6,409","12,864","8,621","7,447","3,540","4,227","3,238","2,046",502
Percent,"70,492",8.80%,6.90%,8.30%,6.70%,9.10%,18.20%,12.20%,10.60%,5.00%,6.00%,4.60%,2.90%,0.70%
"Madera city, California",,,,,,,,,,,,,,
Estimate,"65,711","6,086","6,376","5,698","5,415","4,378","8,619","10,332","6,898","2,832","2,531","3,650","1,854","1,042"
Percent,"65,711",9.30%,9.70%,8.70%,8.20%,6.70%,13.10%,15.70%,10.50%,4.30%,3.90%,5.60%,2.80%,1.60%
"Manteca city, California",,,,,,,,,,,,,,
Estimate,"81,593","5,710","5,286","4,371","6,072","5,180","11,898","8,745","12,510","5,351","5,152","6,397","3,854","1,067"
Percent,"81,593",7.00%,6.50%,5.40%,7.40%,6.30%,14.60%,10.70%,15.30%,6.60%,6.30%,7.80%,4.70%,1.30%
"Menifee city, California",,,,,,,,,,,,,,
Estimate,"92,602","5,763","7,435","7,197","4,635","4,749","14,100","10,900","9,278","5,576","6,063","8,410","6,050","2,446"
Percent,"92,602",6.20%,8.00%,7.80%,5.00%,5.10%,15.20%,11.80%,10.00%,6.00%,6.50%,9.10%,6.50%,2.60%
"Merced city, California",,,,,,,,,,,,,,
Estimate,"83,311","5,879","6,676","7,114","7,065","9,289","10,763","10,950","8,407","3,841","3,415","5,586","3,089","1,237"
Percent,"83,311",7.10%,8.00%,8.50%,8.50%,11.10%,12.90%,13.10%,10.10%,4.60%,4.10%,6.70%,3.70%,1.50%
"Milpitas city, California",,,,,,,,,,,,,,
Estimate,"80,424","5,039","5,257","5,900","3,498","3,800","14,816","13,025","10,018","4,418","5,385","5,291","2,698","1,279"
Percent,"80,424",6.30%,6.50%,7.30%,4.30%,4.70%,18.40%,16.20%,12.50%,5.50%,6.70%,6.60%,3.40%,1.60%
"Mission Viejo city, California",,,,,,,,,,,,,,
Estimate,"95,196","4,072","3,861","5,370","6,321","4,667","9,494","10,855","14,411","9,703","7,070","10,684","5,716","2,972"
Percent,"95,196",4.30%,4.10%,5.60%,6.60%,4.90%,10.00%,11.40%,15.10%,10.20%,7.40%,11.20%,6.00%,3.10%
"Modesto city, California",,,,,,,,,,,,,,
Estimate,"215,032","15,118","17,739","16,906","14,447","15,828","31,422","27,468","23,644","14,155","11,249","15,764","7,678","3,614"
Percent,"215,032",7.00%,8.20%,7.90%,6.70%,7.40%,14.60%,12.80%,11.00%,6.60%,5.20%,7.30%,3.60%,1.70%
"Moreno Valley city, California",,,,,,,,,,,,,,
Estimate,"209,051","14,652","16,049","18,183","17,444","18,300","36,023","24,989","26,602","12,163","7,592","11,199","4,348","1,507"
Percent,"209,051",7.00%,7.70%,8.70%,8.30%,8.80%,17.20%,12.00%,12.70%,5.80%,3.60%,5.40%,2.10%,0.70%
"Mountain View city, California",,,,,,,,,,,,,,
Estimate,"83,377","5,813","5,346","4,497","2,308","5,038","18,842","14,484","10,563","3,726","3,686","4,959","2,391","1,724"
Percent,"83,377",7.00%,6.40%,5.40%,2.80%,6.00%,22.60%,17.40%,12.70%,4.50%,4.40%,5.90%,2.90%,2.10%
"Murrieta city, California",,,,,,,,,,,,,,
Estimate,"114,982","6,895","10,994","10,402","8,776","6,111","12,469","17,487","16,612","7,447","4,087","6,061","4,616","3,025"
Percent,"114,982",6.00%,9.60%,9.00%,7.60%,5.30%,10.80%,15.20%,14.40%,6.50%,3.60%,5.30%,4.00%,2.60%
"Napa city, California",,,,,,,,,,,,,,
Estimate,"79,261","4,398","4,232","5,830","5,183","4,160","10,302","10,865","9,477","4,772","5,437","8,791","4,157","1,657"
Percent,"79,261",5.50%,5.30%,7.40%,6.50%,5.20%,13.00%,13.70%,12.00%,6.00%,6.90%,11.10%,5.20%,2.10%
"Newport Beach city, California",,,,,,,,,,,,,,
Estimate,"85,315","3,017","2,827","3,997","3,717","4,807","12,677","9,074","12,536","6,321","6,101","11,333","5,585","3,323"
Percent,"85,315",3.50%,3.30%,4.70%,4.40%,5.60%,14.90%,10.60%,14.70%,7.40%,7.20%,13.30%,6.50%,3.90%
"Norwalk city, California",,,,,,,,,,,,,,
Estimate,"105,125","8,489","6,282","6,287","6,129","6,524","17,747","13,866","12,623","7,026","5,609","7,952","4,828","1,763"
Percent,"105,125",8.10%,6.00%,6.00%,5.80%,6.20%,16.90%,13.20%,12.00%,6.70%,5.30%,7.60%,4.60%,1.70%
"Oakland city, California",,,,,,,,,,,,,,
Estimate,"429,114","25,179","20,453","23,758","20,822","20,621","89,252","69,083","54,688","24,758","22,395","35,131","16,959","6,015"
Percent,"429,114",5.90%,4.80%,5.50%,4.90%,4.80%,20.80%,16.10%,12.70%,5.80%,5.20%,8.20%,4.00%,1.40%
"Oceanside city, California",,,,,,,,,,,,,,
Estimate,"176,090","9,860","9,276","11,169","9,761","10,844","27,181","23,500","22,459","12,009","9,966","17,504","9,364","3,197"
Percent,"176,090",5.60%,5.30%,6.30%,5.50%,6.20%,15.40%,13.30%,12.80%,6.80%,5.70%,9.90%,5.30%,1.80%
"Ontario city, California",,,,,,,,,,,,,,
Estimate,"181,119","11,437","12,551","13,011","12,499","16,408","31,723","26,683","21,969","10,766","7,497","10,283","4,775","1,517"
Percent,"181,119",6.30%,6.90%,7.20%,6.90%,9.10%,17.50%,14.70%,12.10%,5.90%,4.10%,5.70%,2.60%,0.80%
"Orange city, California",,,,,,,,,,,,,,
Estimate,"139,502","6,905","7,756","8,352","10,090","13,102","23,832","16,128","17,680","9,738","9,275","9,746","4,814","2,084"
Percent,"139,502",4.90%,5.60%,6.00%,7.20%,9.40%,17.10%,11.60%,12.70%,7.00%,6.60%,7.00%,3.50%,1.50%
"Oxnard city, California",,,,,,,,,,,,,,
Estimate,"209,886","13,003","15,706","16,940","14,954","15,057","34,474","30,259","25,578","13,074","10,510","11,205","6,190","2,936"
Percent,"209,886",6.20%,7.50%,8.10%,7.10%,7.20%,16.40%,14.40%,12.20%,6.20%,5.00%,5.30%,2.90%,1.40%
"Palmdale city, California",,,,,,,,,,,,,,
Estimate,"156,661","9,932","11,799","15,347","13,488","12,226","17,844","19,992","18,945","10,798","8,911","10,828","4,984","1,567"
Percent,"156,661",6.30%,7.50%,9.80%,8.60%,7.80%,11.40%,12.80%,12.10%,6.90%,5.70%,6.90%,3.20%,1.00%
"Palo Alto city, California",,,,,,,,,,,,,,
Estimate,"66,655","2,371","3,245","5,035","4,014","3,733","8,022","9,108","9,185","4,202","4,635","5,670","5,297","2,138"
Percent,"66,655",3.60%,4.90%,7.60%,6.00%,5.60%,12.00%,13.70%,13.80%,6.30%,7.00%,8.50%,7.90%,3.20%
"Pasadena city, California",,,,,,,,,,,,,,
Estimate,"141,374","8,351","6,599","8,398","7,453","7,573","23,521","21,091","17,984","8,995","7,663","11,945","7,856","3,945"
Percent,"141,374",5.90%,4.70%,5.90%,5.30%,5.40%,16.60%,14.90%,12.70%,6.40%,5.40%,8.40%,5.60%,2.80%
"Perris city, California",,,,,,,,,,,,,,
Estimate,"79,139","6,886","6,199","8,522","6,500","7,011","11,373","11,379","9,511","3,902","3,247","3,478",936,195
