City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Percent,"114,582",7.10%,8.40%,9.70%,7.20%,3.40%,13.10%,13.90%,11.50%,6.60%,5.80%,7.80%,4.00%,1.60%
"Compton city, California",,,,,,,,,,,,,,
Estimate,"95,601","6,691","6,824","8,653","7,277","6,049","14,214","12,927","11,425","6,230","4,282","6,757","2,924","1,348"
Percent,"95,601",7.00%,7.10%,9.10%,7.60%,6.30%,14.90%,13.50%,12.00%,6.50%,4.50%,7.10%,3.10%,1.40%
"Concord city, California",,,,,,,,,,,,,,
Estimate,"129,320","9,701","7,426","5,656","7,426","8,567","21,833","15,567","16,777","10,482","7,466","11,169","5,311","1,939"
Percent,"129,320",7.50%,5.70%,4.40%,5.70%,6.60%,16.90%,12.00%,13.00%,8.10%,5.80%,8.60%,4.10%,1.50%
"Corona city, California",,,,,,,,,,,,,,
Estimate,"169,854","10,291","11,912","11,900","11,726","11,059","27,093","26,115","21,423","13,741","9,144","9,694","4,215","1,541"
Percent,"169,854",6.10%,7.00%,7.00%,6.90%,6.50%,16.00%,15.40%,12.60%,8.10%,5.40%,5.70%,2.50%,0.90%
"Costa Mesa city, California",,,,,,,,,,,,,,
Estimate,"113,011","9,792","5,548","5,935","6,326","6,214","22,806","17,461","14,892","6,425","3,446","8,911","3,180","2,075"
Percent,"113,011",8.70%,4.90%,5.30%,5.60%,5.50%,20.20%,15.50%,13.20%,5.70%,3.00%,7.90%,2.80%,1.80%
"Daly City city, California",,,,,,,,,,,,,,
Estimate,"106,294","3,861","4,720","4,922","5,874","8,261","16,265","16,966","11,705","8,388","6,826","10,073","5,896","2,537"
Percent,"106,294",3.60%,4.40%,4.60%,5.50%,7.80%,15.30%,16.00%,11.00%,7.90%,6.40%,9.50%,5.50%,2.40%
"Davis city, California",,,,,,,,,,,,,,
Estimate,"69,420","1,723","2,028","2,324","7,313","19,846","9,400","6,115","7,093","3,542","2,322","4,931","1,615","1,168"
Percent,"69,420",2.50%,2.90%,3.30%,10.50%,28.60%,13.50%,8.80%,10.20%,5.10%,3.30%,7.10%,2.30%,1.70%
"Downey city, California",,,,,,,,,,,,,,
Estimate,"111,127","6,404","7,593","7,329","7,727","7,624","16,355","13,560","18,744","6,290","5,685","8,899","3,603","1,314"
Percent,"111,127",5.80%,6.80%,6.60%,7.00%,6.90%,14.70%,12.20%,16.90%,5.70%,5.10%,8.00%,3.20%,1.20%
"East Los Angeles CDP, California",,,,,,,,,,,,,,
Estimate,"119,890","8,916","7,751","9,497","8,259","10,272","20,422","14,649","14,055","7,281","6,703","7,624","2,952","1,509"
Percent,"119,890",7.40%,6.50%,7.90%,6.90%,8.60%,17.00%,12.20%,11.70%,6.10%,5.60%,6.40%,2.50%,1.30%
"El Cajon city, California",,,,,,,,,,,,,,
Estimate,"102,699","8,435","5,767","6,956","5,368","6,951","17,981","14,731","10,563","7,465","5,680","7,840","3,594","1,368"
Percent,"102,699",8.20%,5.60%,6.80%,5.20%,6.80%,17.50%,14.30%,10.30%,7.30%,5.50%,7.60%,3.50%,1.30%
"Elk Grove city, California",,,,,,,,,,,,,,
Estimate,"174,791","9,197","10,368","12,583","15,068","8,305","22,841","22,666","28,404","11,758","12,446","13,797","5,537","1,821"
Percent,"174,791",5.30%,5.90%,7.20%,8.60%,4.80%,13.10%,13.00%,16.30%,6.70%,7.10%,7.90%,3.20%,1.00%
"El Monte city, California",,,,,,,,,,,,,,
Estimate,"115,477","6,781","5,144","7,833","6,944","9,100","16,841","17,472","15,948","6,988","4,178","10,868","4,685","2,695"
Percent,"115,477",5.90%,4.50%,6.80%,6.00%,7.90%,14.60%,15.10%,13.80%,6.10%,3.60%,9.40%,4.10%,2.30%
"Escondido city, California",,,,,,,,,,,,,,
Estimate,"151,619","9,288","10,004","11,149","7,750","11,070","20,879","19,264","18,432","10,238","10,082","12,146","7,498","3,819"
Percent,"151,619",6.10%,6.60%,7.40%,5.10%,7.30%,13.80%,12.70%,12.20%,6.80%,6.60%,8.00%,4.90%,2.50%
"Fairfield city, California",,,,,,,,,,,,,,
Estimate,"117,136","8,260","6,844","8,526","7,394","7,592","19,505","16,587","14,555","6,223","6,411","9,406","3,721","2,112"
Percent,"117,136",7.10%,5.80%,7.30%,6.30%,6.50%,16.70%,14.20%,12.40%,5.30%,5.50%,8.00%,3.20%,1.80%
"Florence-Graham CDP, California",,,,,,,,,,,,,,
Estimate,"70,149","6,231","5,545","5,783","5,058","4,451","12,153","9,623","7,556","3,921","4,157","3,898","1,411",362
Percent,"70,149",8.90%,7.90%,8.20%,7.20%,6.30%,17.30%,13.70%,10.80%,5.60%,5.90%,5.60%,2.00%,0.50%
"Folsom city, California",,,,,,,,,,,,,,
Estimate,"81,324","4,197","4,791","6,077","5,358","3,791","10,696","12,548","13,962","5,106","4,520","5,469","3,783","1,026"
Percent,"81,324",5.20%,5.90%,7.50%,6.60%,4.70%,13.20%,15.40%,17.20%,6.30%,5.60%,6.70%,4.70%,1.30%
"Fontana city, California",,,,,,,,,,,,,,
Estimate,"214,557","12,907","18,615","19,064","17,923","16,342","29,688","33,742","26,715","10,036","8,512","13,224","5,965","1,824"
Percent,"214,557",6.00%,8.70%,8.90%,8.40%,7.60%,13.80%,15.70%,12.50%,4.70%,4.00%,6.20%,2.80%,0.90%
"Fremont city, California",,,,,,,,,,,,,,
Estimate,"241,117","13,339","17,185","15,413","12,617","10,036","37,237","38,758","35,641","17,074","13,588","15,808","10,466","3,955"
Percent,"241,117",5.50%,7.10%,6.40%,5.20%,4.20%,15.40%,16.10%,14.80%,7.10%,5.60%,6.60%,4.30%,1.60%
"Fresno city, California",,,,,,,,,,,,,,
Estimate,"531,581","41,248","39,419","44,330","37,948","40,772","88,365","72,581","52,777","26,616","24,914","36,901","16,038","9,672"
Percent,"531,581",7.80%,7.40%,8.30%,7.10%,7.70%,16.60%,13.70%,9.90%,5.00%,4.70%,6.90%,3.00%,1.80%
"Fullerton city, California",,,,,,,,,,,,,,
Estimate,"138,638","9,071","9,113","8,968","8,005","12,295","21,027","18,483","17,340","7,198","7,812","10,007","6,550","2,769"
Percent,"138,638",6.50%,6.60%,6.50%,5.80%,8.90%,15.20%,13.30%,12.50%,5.20%,5.60%,7.20%,4.70%,2.00%
"Garden Grove city, California",,,,,,,,,,,,,,
Estimate,"171,670","8,873","9,172","11,375","10,212","9,939","26,453","19,055","24,800","13,520","8,974","16,692","8,959","3,646"
Percent,"171,670",5.20%,5.30%,6.60%,5.90%,5.80%,15.40%,11.10%,14.40%,7.90%,5.20%,9.70%,5.20%,2.10%
"Glendale city, California",,,,,,,,,,,,,,
Estimate,"199,301","10,578","10,178","11,771","8,719","10,379","29,702","28,883","26,429","14,889","11,449","20,017","12,612","3,695"
Percent,"199,301",5.30%,5.10%,5.90%,4.40%,5.20%,14.90%,14.50%,13.30%,7.50%,5.70%,10.00%,6.30%,1.90%
"Hawthorne city, California",,,,,,,,,,,,,,
Estimate,"86,062","6,667","7,294","6,232","5,400","5,499","15,733","10,108","12,874","4,168","4,657","4,027","2,302","1,101"
Percent,"86,062",7.70%,8.50%,7.20%,6.30%,6.40%,18.30%,11.70%,15.00%,4.80%,5.40%,4.70%,2.70%,1.30%
"Hayward city, California",,,,,,,,,,,,,,
Estimate,"159,202","7,971","8,055","9,009","10,270","12,478","27,739","23,528","18,457","11,671","10,039","11,537","5,880","2,568"
Percent,"159,202",5.00%,5.10%,5.70%,6.50%,7.80%,17.40%,14.80%,11.60%,7.30%,6.30%,7.20%,3.70%,1.60%
"Hemet city, California",,,,,,,,,,,,,,
Estimate,"85,341","5,277","7,187","5,186","4,764","5,600","9,284","11,018","6,572","5,522","4,961","10,452","7,270","2,248"
Percent,"85,341",6.20%,8.40%,6.10%,5.60%,6.60%,10.90%,12.90%,7.70%,6.50%,5.80%,12.20%,8.50%,2.60%
"Hesperia city, California",,,,,,,,,,,,,,
Estimate,"95,753","7,973","7,441","6,829","8,727","6,220","12,177","13,339","11,010","6,622","5,597","6,297","2,651",870
Percent,"95,753",8.30%,7.80%,7.10%,9.10%,6.50%,12.70%,13.90%,11.50%,6.90%,5.80%,6.60%,2.80%,0.90%
"Huntington Beach city, California",,,,,,,,,,,,,,
Estimate,"199,228","10,114","9,119","9,419","11,773","11,223","30,942","22,376","26,575","15,721","14,068","21,775","11,553","4,570"
Percent,"199,228",5.10%,4.60%,4.70%,5.90%,5.60%,15.50%,11.20%,13.30%,7.90%,7.10%,10.90%,5.80%,2.30%
"Indio city, California",,,,,,,,,,,,,,
Estimate,"91,756","4,922","3,953","5,711","7,205","6,631","11,471","9,601","10,303","5,396","5,676","12,835","6,634","1,418"
Percent,"91,756",5.40%,4.30%,6.20%,7.90%,7.20%,12.50%,10.50%,11.20%,5.90%,6.20%,14.00%,7.20%,1.50%
"Inglewood city, California",,,,,,,,,,,,,,
Estimate,"108,170","5,933","5,774","7,573","7,055","8,614","16,936","15,660","13,795","7,069","6,656","7,414","3,590","2,101"
Percent,"108,170",5.50%,5.30%,7.00%,6.50%,8.00%,15.70%,14.50%,12.80%,6.50%,6.20%,6.90%,3.30%,1.90%
"Irvine city, California",,,,,,,,,,,,,,
Estimate,"287,387","20,770","15,701","15,210","23,281","25,738","52,286","40,133","37,183","13,059","14,730","18,418","7,290","3,588"
Percent,"287,387",7.20%,5.50%,5.30%,8.10%,9.00%,18.20%,14.00%,12.90%,4.50%,5.10%,6.40%,2.50%,1.20%
"Jurupa Valley city, California",,,,,,,,,,,,,,
Estimate,"109,525","7,666","9,673","10,334","9,701","7,213","15,872","15,260","11,673","4,505","5,393","8,192","3,056",987
Percent,"109,525",7.00%,8.80%,9.40%,8.90%,6.60%,14.50%,13.90%,10.70%,4.10%,4.90%,7.50%,2.80%,0.90%
"Laguna Niguel city, California",,,,,,,,,,,,,,
Estimate,"66,384","3,647","3,817","4,185","2,955","3,755","8,219","7,351","8,867","4,562","6,464","8,166","3,483",913
Percent,"66,384",5.50%,5.70%,6.30%,4.50%,5.70%,12.40%,11.10%,13.40%,6.90%,9.70%,12.30%,5.20%,1.40%
"Lake Elsinore city, California",,,,,,,,,,,,,,
Estimate,"69,283","6,134","5,801","6,220","5,545","4,267","10,555","8,374","9,953","3,607","3,119","3,197","2,024",487
Percent,"69,283",8.90%,8.40%,9.00%,8.00%,6.20%,15.20%,12.10%,14.40%,5.20%,4.50%,4.60%,2.90%,0.70%
"Lake Forest city, California",,,,,,,,,,,,,,
Estimate,"85,529","5,786","5,258","5,890","5,182","3,679","10,731","12,515","13,417","6,971","4,864","7,220","2,949","1,067"
Percent,"85,529",6.80%,6.10%,6.90%,6.10%,4.30%,12.50%,14.60%,15.70%,8.20%,5.70%,8.40%,3.40%,1.20%
"Lakewood city, California",,,,,,,,,,,,,,
Estimate,"79,302","4,350","5,965","4,594","4,715","6,388","10,024","11,135","11,910","4,424","5,736","6,257","2,607","1,197"
Percent,"79,302",5.50%,7.50%,5.80%,5.90%,8.10%,12.60%,14.00%,15.00%,5.60%,7.20%,7.90%,3.30%,1.50%
"Lancaster city, California",,,,,,,,,,,,,,
Estimate,"157,604","9,551","12,371","14,822","12,974","8,962","23,315","22,039","18,019","8,868","9,362","10,662","5,375","1,284"
Percent,"157,604",6.10%,7.80%,9.40%,8.20%,5.70%,14.80%,14.00%,11.40%,5.60%,5.90%,6.80%,3.40%,0.80%
"Livermore city, California",,,,,,,,,,,,,,
Estimate,"90,188","6,798","5,217","6,314","5,256","3,674","11,168","13,391","13,463","6,361","3,885","8,607","3,982","2,072"
Percent,"90,188",7.50%,5.80%,7.00%,5.80%,4.10%,12.40%,14.80%,14.90%,7.10%,4.30%,9.50%,4.40%,2.30%
"Lodi city, California",,,,,,,,,,,,,,
Estimate,"67,581","4,268","4,398","7,593","4,918","3,130","9,432","9,311","8,898","3,452","2,687","5,581","2,888","1,025"
Percent,"67,581",6.30%,6.50%,11.20%,7.30%,4.60%,14.00%,13.80%,13.20%,5.10%,4.00%,8.30%,4.30%,1.50%
"Long Beach city, California",,,,,,,,,,,,,,
Estimate,"462,645","26,035","27,578","29,306","29,027","32,848","79,582","66,450","59,146","28,561","26,074","36,441","13,910","7,687"
Percent,"462,645",5.60%,6.00%,6.30%,6.30%,7.10%,17.20%,14.40%,12.80%,6.20%,5.60%,7.90%,3.00%,1.70%
"Los Angeles city, California",,,,,,,,,,,,,,
Estimate,"3,979,537","227,867","213,915","230,913","239,774","289,106","728,072","572,082","523,159","226,042","208,326","291,898","155,204","73,179"
Percent,"3,979,537",5.70%,5.40%,5.80%,6.00%,7.30%,18.30%,14.40%,13.10%,5.70%,5.20%,7.30%,3.90%,1.80%
"Lynwood city, California",,,,,,,,,,,,,,
Estimate,"69,902","6,306","4,604","5,908","4,685","6,118","12,068","9,579","8,153","2,703","3,645","3,709","1,872",552
Percent,"69,902",9.00%,6.60%,8.50%,6.70%,8.80%,17.30%,13.70%,11.70%,3.90%,5.20%,5.30%,2.70%,0.80%
"Madera city, California",,,,,,,,,,,,,,
Estimate,"65,859","6,341","8,157","5,545","5,593","4,949","9,532","8,717","6,866","3,220","2,193","2,672","1,843",231
Percent,"65,859",9.60%,12.40%,8.40%,8.50%,7.50%,14.50%,13.20%,10.40%,4.90%,3.30%,4.10%,2.80%,0.40%
"Manteca city, California",,,,,,,,,,,,,,
Estimate,"83,037","4,729","6,583","6,672","4,774","5,097","10,193","11,829","10,967","5,169","4,803","6,502","4,011","1,708"
Percent,"83,037",5.70%,7.90%,8.00%,5.70%,6.10%,12.30%,14.20%,13.20%,6.20%,5.80%,7.80%,4.80%,2.10%
"Menifee city, California",,,,,,,,,,,,,,
Estimate,"94,738","6,480","6,949","7,799","6,183","5,145","11,860","13,325","9,310","4,971","5,592","7,606","7,029","2,489"
Percent,"94,738",6.80%,7.30%,8.20%,6.50%,5.40%,12.50%,14.10%,9.80%,5.20%,5.90%,8.00%,7.40%,2.60%
"Merced city, California",,,,,,,,,,,,,,
Estimate,"83,668","5,791","6,854","7,181","5,712","9,682","12,900","12,269","8,018","3,783","3,901","4,416","2,583",578
Percent,"83,668",6.90%,8.20%,8.60%,6.80%,11.60%,15.40%,14.70%,9.60%,4.50%,4.70%,5.30%,3.10%,0.70%
"Milpitas city, California",,,,,,,,,,,,,,
Estimate,"84,184","5,485","3,576","2,867","3,309","4,698","17,856","13,057","10,363","4,699","6,300","6,867","3,753","1,354"
Percent,"84,184",6.50%,4.20%,3.40%,3.90%,5.60%,21.20%,15.50%,12.30%,5.60%,7.50%,8.20%,4.50%,1.60%
"Mission Viejo city, California",,,,,,,,,,,,,,
Estimate,"94,375","4,136","4,030","5,334","5,902","4,449","9,799","9,289","13,820","7,734","8,139","11,588","7,100","3,055"
Percent,"94,375",4.40%,4.30%,5.70%,6.30%,4.70%,10.40%,9.80%,14.60%,8.20%,8.60%,12.30%,7.50%,3.20%
"Modesto city, California",,,,,,,,,,,,,,
Estimate,"215,196","16,527","13,272","16,010","13,567","13,321","32,581","24,800","26,128","14,341","12,439","18,338","11,034","2,838"
Percent,"215,196",7.70%,6.20%,7.40%,6.30%,6.20%,15.10%,11.50%,12.10%,6.70%,5.80%,8.50%,5.10%,1.30%
"Moreno Valley city, California",,,,,,,,,,,,,,
Estimate,"213,064","15,963","16,163","18,758","14,606","19,992","33,900","29,066","25,754","11,098","9,986","11,249","4,946","1,583"
Percent,"213,064",7.50%,7.60%,8.80%,6.90%,9.40%,15.90%,13.60%,12.10%,5.20%,4.70%,5.30%,2.30%,0.70%
"Mountain View city, California",,,,,,,,,,,,,,
Estimate,"82,726","4,269","3,885","4,101","3,967","4,478","20,883","13,095","10,843","4,122","3,632","5,103","3,232","1,116"
Percent,"82,726",5.20%,4.70%,5.00%,4.80%,5.40%,25.20%,15.80%,13.10%,5.00%,4.40%,6.20%,3.90%,1.30%
"Murrieta city, California",,,,,,,,,,,,,,
Estimate,"116,223","9,184","8,332","8,961","9,894","5,500","18,643","13,907","15,546","6,949","4,697","8,616","4,119","1,875"
Percent,"116,223",7.90%,7.20%,7.70%,8.50%,4.70%,16.00%,12.00%,13.40%,6.00%,4.00%,7.40%,3.50%,1.60%
"Napa city, California",,,,,,,,,,,,,,
Estimate,"78,130","4,098","3,491","5,830","4,702","3,365","10,963","10,585","9,883","5,481","4,660","9,757","3,587","1,728"
Percent,"78,130",5.20%,4.50%,7.50%,6.00%,4.30%,14.00%,13.50%,12.60%,7.00%,6.00%,12.50%,4.60%,2.20%
"Newport Beach city, California",,,,,,,,,,,,,,
Estimate,"84,522","2,958","3,545","5,974","3,873","4,972","10,017","9,469","11,658","6,992","7,270","10,118","4,891","2,785"
Percent,"84,522",3.50%,4.20%,7.10%,4.60%,5.90%,11.90%,11.20%,13.80%,8.30%,8.60%,12.00%,5.80%,3.30%
"Norwalk city, California",,,,,,,,,,,,,,
Estimate,"103,946","7,144","6,682","6,858","5,660","7,255","17,551","14,465","11,873","6,453","6,457","8,279","3,955","1,314"
Percent,"103,946",6.90%,6.40%,6.60%,5.40%,7.00%,16.90%,13.90%,11.40%,6.20%,6.20%,8.00%,3.80%,1.30%
"Oakland city, California",,,,,,,,,,,,,,
Estimate,"433,044","27,526","22,996","23,022","21,197","23,083","83,729","72,859","54,337","22,640","21,760","35,665","17,201","7,029"
Percent,"433,044",6.40%,5.30%,5.30%,4.90%,5.30%,19.30%,16.80%,12.50%,5.20%,5.00%,8.20%,4.00%,1.60%
"Oceanside city, California",,,,,,,,,,,,,,
Estimate,"175,762","11,462","9,924","12,132","8,055","11,821","27,523","23,422","17,907","12,336","12,372","15,791","9,063","3,954"
Percent,"175,762",6.50%,5.60%,6.90%,4.60%,6.70%,15.70%,13.30%,10.20%,7.00%,7.00%,9.00%,5.20%,2.20%
"Ontario city, California",,,,,,,,,,,,,,
Estimate,"184,999","13,807","13,395","14,699","11,933","12,797","36,105","23,624","21,931","10,116","10,241","9,450","5,685","1,216"
Percent,"184,999",7.50%,7.20%,7.90%,6.50%,6.90%,19.50%,12.80%,11.90%,5.50%,5.50%,5.10%,3.10%,0.70%
"Orange city, California",,,,,,,,,,,,,,
Estimate,"138,661","9,408","7,429","7,048","10,028","10,894","21,332","18,235","18,015","9,683","7,816","10,937","5,800","2,036"
Percent,"138,661",6.80%,5.40%,5.10%,7.20%,7.90%,15.40%,13.20%,13.00%,7.00%,5.60%,7.90%,4.20%,1.50%
"Oxnard city, California",,,,,,,,,,,,,,
Estimate,"208,875","12,518","15,028","17,858","16,471","14,142","30,635","26,858","28,035","12,865","11,786","12,811","6,789","3,079"
Percent,"208,875",6.00%,7.20%,8.50%,7.90%,6.80%,14.70%,12.90%,13.40%,6.20%,5.60%,6.10%,3.30%,1.50%
"Palmdale city, California",,,,,,,,,,,,,,
Estimate,"155,065","11,029","10,643","14,890","12,696","13,371","20,020","20,791","19,579","8,490","8,602","9,600","4,552",802
Percent,"155,065",7.10%,6.90%,9.60%,8.20%,8.60%,12.90%,13.40%,12.60%,5.50%,5.50%,6.20%,2.90%,0.50%
"Palo Alto city, California",,,,,,,,,,,,,,
Estimate,"65,365","4,625","3,328","4,945","3,733","2,992","7,787","7,935","9,370","4,400","2,820","6,579","4,703","2,148"
Percent,"65,365",7.10%,5.10%,7.60%,5.70%,4.60%,11.90%,12.10%,14.30%,6.70%,4.30%,10.10%,7.20%,3.30%
"Pasadena city, California",,,,,,,,,,,,,,
Estimate,"141,040","8,934","5,637","5,424","4,949","7,197","29,714","22,550","17,639","8,375","8,143","12,063","7,422","2,993"
Percent,"141,040",6.30%,4.00%,3.80%,3.50%,5.10%,21.10%,16.00%,12.50%,5.90%,5.80%,8.60%,5.30%,2.10%
"Perris city, California",,,,,,,,,,,,,,
Estimate,"79,294","5,857","6,904","6,757","5,887","6,413","11,997","11,217","11,253","3,982","3,152","3,427","2,105",343
Percent,"79,294",7.40%,8.70%,8.50%,7.40%,8.10%,15.10%,14.10%,14.20%,5.00%,4.00%,4.30%,2.70%,0.40%
"Pittsburg city, California",,,,,,,,,,,,,,
Estimate,"72,569","5,985","3,435","4,560","4,471","5,209","12,032","10,784","7,854","4,125","4,998","6,128","2,282",706
