City,Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over
Estimate,"140,734","8,231","6,623","9,329","9,552","13,334","22,063","17,596","18,878","8,940","8,096","9,351","6,045","2,696"
Percent,"140,734",5.80%,4.70%,6.60%,6.80%,9.50%,15.70%,12.50%,13.40%,6.40%,5.80%,6.60%,4.30%,1.90%
"Garden Grove city, California",,,,,,,,,,,,,,
Estimate,"174,877","8,896","12,168","12,018","11,759","13,105","25,747","24,033","25,822","11,084","9,426","11,376","6,399","3,044"
Percent,"174,877",5.10%,7.00%,6.90%,6.70%,7.50%,14.70%,13.70%,14.80%,6.30%,5.40%,6.50%,3.70%,1.70%
"Glendale city, California",,,,,,,,,,,,,,
Estimate,"200,826","10,666","10,274","10,358","10,111","9,635","30,866","29,458","28,829","13,857","12,445","18,292","10,495","5,540"
Percent,"200,826",5.30%,5.10%,5.20%,5.00%,4.80%,15.40%,14.70%,14.40%,6.90%,6.20%,9.10%,5.20%,2.80%
"Hawthorne city, California",,,,,,,,,,,,,,
Estimate,"88,032","8,949","6,668","5,458","4,489","5,918","16,654","13,132","10,426","4,435","3,481","5,303","1,952","1,167"
Percent,"88,032",10.20%,7.60%,6.20%,5.10%,6.70%,18.90%,14.90%,11.80%,5.00%,4.00%,6.00%,2.20%,1.30%
"Hayward city, California",,,,,,,,,,,,,,
Estimate,"158,969","7,914","10,440","10,320","9,155","14,350","27,151","20,296","22,541","10,701","7,927","10,119","5,372","2,683"
Percent,"158,969",5.00%,6.60%,6.50%,5.80%,9.00%,17.10%,12.80%,14.20%,6.70%,5.00%,6.40%,3.40%,1.70%
"Hemet city, California",,,,,,,,,,,,,,
Estimate,"84,277","6,688","8,251","6,555","5,118","3,537","9,471","7,328","9,399","4,257","4,538","10,005","6,563","2,567"
Percent,"84,277",7.90%,9.80%,7.80%,6.10%,4.20%,11.20%,8.70%,11.20%,5.10%,5.40%,11.90%,7.80%,3.00%
"Hesperia city, California",,,,,,,,,,,,,,
Estimate,"93,714","6,287","6,502","7,083","8,461","7,504","12,258","11,995","11,841","7,137","4,447","6,802","2,610",787
Percent,"93,714",6.70%,6.90%,7.60%,9.00%,8.00%,13.10%,12.80%,12.60%,7.60%,4.70%,7.30%,2.80%,0.80%
"Huntington Beach city, California",,,,,,,,,,,,,,
Estimate,"200,631","10,685","8,471","11,794","10,944","11,073","25,126","24,569","32,629","14,286","14,283","21,623","11,324","3,824"
Percent,"200,631",5.30%,4.20%,5.90%,5.50%,5.50%,12.50%,12.20%,16.30%,7.10%,7.10%,10.80%,5.60%,1.90%
"Indio city, California",,,,,,,,,,,,,,
Estimate,"88,484","5,117","6,152","6,733","5,714","5,019","10,584","10,907","11,248","4,860","3,935","10,072","7,003","1,140"
Percent,"88,484",5.80%,7.00%,7.60%,6.50%,5.70%,12.00%,12.30%,12.70%,5.50%,4.40%,11.40%,7.90%,1.30%
"Inglewood city, California",,,,,,,,,,,,,,
Estimate,"110,667","6,451","5,606","5,691","6,839","9,326","17,040","15,366","17,077","7,412","6,176","8,000","4,561","1,122"
Percent,"110,667",5.80%,5.10%,5.10%,6.20%,8.40%,15.40%,13.90%,15.40%,6.70%,5.60%,7.20%,4.10%,1.00%
"Irvine city, California",,,,,,,,,,,,,,
Estimate,"266,117","19,060","15,690","18,109","21,630","21,565","38,791","39,859","40,619","14,463","9,878","16,877","6,360","3,216"
Percent,"266,117",7.20%,5.90%,6.80%,8.10%,8.10%,14.60%,15.00%,15.30%,5.40%,3.70%,6.30%,2.40%,1.20%
"Jurupa Valley city, California",,,,,,,,,,,,,,
Estimate,"103,543","7,476","7,485","6,814","7,743","9,928","13,717","12,572","13,054","7,448","6,427","6,260","3,163","1,456"
Percent,"103,543",7.20%,7.20%,6.60%,7.50%,9.60%,13.20%,12.10%,12.60%,7.20%,6.20%,6.00%,3.10%,1.40%
"Laguna Niguel city, California",,,,,,,,,,,,,,
Estimate,"65,328","3,576","3,571","2,766","3,970","4,097","8,039","6,352","9,381","6,803","5,453","5,962","3,491","1,867"
Percent,"65,328",5.50%,5.50%,4.20%,6.10%,6.30%,12.30%,9.70%,14.40%,10.40%,8.30%,9.10%,5.30%,2.90%
"Lake Forest city, California",,,,,,,,,,,,,,
Estimate,"83,236","5,259","3,753","5,461","4,404","5,499","11,887","12,508","13,106","4,952","5,294","6,687","3,018","1,408"
Percent,"83,236",6.30%,4.50%,6.60%,5.30%,6.60%,14.30%,15.00%,15.70%,5.90%,6.40%,8.00%,3.60%,1.70%
"Lakewood city, California",,,,,,,,,,,,,,
Estimate,"81,121","7,187","4,240","5,091","5,824","5,366","11,032","12,291","9,974","3,896","6,346","5,747","2,355","1,772"
Percent,"81,121",8.90%,5.20%,6.30%,7.20%,6.60%,13.60%,15.20%,12.30%,4.80%,7.80%,7.10%,2.90%,2.20%
"Lancaster city, California",,,,,,,,,,,,,,
Estimate,"160,107","13,281","12,475","9,963","12,432","11,188","23,560","20,419","21,701","10,278","9,027","9,457","4,429","1,897"
Percent,"160,107",8.30%,7.80%,6.20%,7.80%,7.00%,14.70%,12.80%,13.60%,6.40%,5.60%,5.90%,2.80%,1.20%
"Livermore city, California",,,,,,,,,,,,,,
Estimate,"89,118","5,549","5,127","6,456","4,745","4,882","11,933","10,379","16,542","6,915","5,483","7,290","2,935",882
Percent,"89,118",6.20%,5.80%,7.20%,5.30%,5.50%,13.40%,11.60%,18.60%,7.80%,6.20%,8.20%,3.30%,1.00%
"Long Beach city, California",,,,,,,,,,,,,,
Estimate,"470,140","34,003","29,588","28,727","30,508","38,570","82,678","63,839","64,130","25,005","23,722","31,167","12,372","5,831"
Percent,"470,140",7.20%,6.30%,6.10%,6.50%,8.20%,17.60%,13.60%,13.60%,5.30%,5.00%,6.60%,2.60%,1.20%
"Los Angeles city, California",,,,,,,,,,,,,,
Estimate,"3,976,324","233,976","238,426","219,799","239,033","310,019","708,811","566,352","536,618","237,125","204,961","268,156","144,337","68,711"
Percent,"3,976,324",5.90%,6.00%,5.50%,6.00%,7.80%,17.80%,14.20%,13.50%,6.00%,5.20%,6.70%,3.60%,1.70%
"Lynwood city, California",,,,,,,,,,,,,,
Estimate,"71,184","5,435","6,059","6,628","6,028","5,872","11,962","11,602","6,747","3,738","2,290","2,876","1,334",613
Percent,"71,184",7.60%,8.50%,9.30%,8.50%,8.20%,16.80%,16.30%,9.50%,5.30%,3.20%,4.00%,1.90%,0.90%
"Manteca city, California",,,,,,,,,,,,,,
Estimate,"76,912","6,207","6,980","4,673","4,487","5,899","10,838","8,919","10,471","4,088","5,531","5,001","3,060",758
Percent,"76,912",8.10%,9.10%,6.10%,5.80%,7.70%,14.10%,11.60%,13.60%,5.30%,7.20%,6.50%,4.00%,1.00%
"Menifee city, California",,,,,,,,,,,,,,
Estimate,"88,510","5,818","5,589","5,852","7,228","4,198","12,207","9,813","9,783","5,712","4,791","8,537","6,481","2,501"
Percent,"88,510",6.60%,6.30%,6.60%,8.20%,4.70%,13.80%,11.10%,11.10%,6.50%,5.40%,9.60%,7.30%,2.80%
"Merced city, California",,,,,,,,,,,,,,
Estimate,"82,573","6,431","6,420","7,683","7,805","8,371","13,247","10,298","8,480","4,041","2,913","4,065","1,999",820
Percent,"82,573",7.80%,7.80%,9.30%,9.50%,10.10%,16.00%,12.50%,10.30%,4.90%,3.50%,4.90%,2.40%,1.00%
"Milpitas city, California",,,,,,,,,,,,,,
Estimate,"77,534","5,175","5,683","3,669","2,734","4,825","15,227","10,792","9,731","5,953","4,532","4,629","3,538","1,046"
Percent,"77,534",6.70%,7.30%,4.70%,3.50%,6.20%,19.60%,13.90%,12.60%,7.70%,5.80%,6.00%,4.60%,1.30%
"Mission Viejo city, California",,,,,,,,,,,,,,
Estimate,"96,386","4,673","5,539","5,233","6,748","4,251","10,147","13,484","15,346","7,054","6,180","10,369","5,089","2,273"
Percent,"96,386",4.80%,5.70%,5.40%,7.00%,4.40%,10.50%,14.00%,15.90%,7.30%,6.40%,10.80%,5.30%,2.40%
"Modesto city, California",,,,,,,,,,,,,,
Estimate,"212,172","17,091","15,145","17,449","12,717","13,429","30,870","27,907","23,668","12,176","13,261","17,755","7,537","3,167"
Percent,"212,172",8.10%,7.10%,8.20%,6.00%,6.30%,14.50%,13.20%,11.20%,5.70%,6.30%,8.40%,3.60%,1.50%
"Moreno Valley city, California",,,,,,,,,,,,,,
Estimate,"205,516","17,866","15,798","17,467","15,687","20,454","32,317","27,414","25,756","10,202","7,329","10,135","3,673","1,418"
Percent,"205,516",8.70%,7.70%,8.50%,7.60%,10.00%,15.70%,13.30%,12.50%,5.00%,3.60%,4.90%,1.80%,0.70%
"Mountain View city, California",,,,,,,,,,,,,,
Estimate,"80,459","4,748","4,647","5,273","3,156","4,497","18,195","14,206","8,617","4,145","4,033","4,674","2,343","1,925"
Percent,"80,459",5.90%,5.80%,6.60%,3.90%,5.60%,22.60%,17.70%,10.70%,5.20%,5.00%,5.80%,2.90%,2.40%
"Murrieta city, California",,,,,,,,,,,,,,
Estimate,"111,682","7,744","7,761","10,682","7,545","8,882","15,449","13,865","14,278","7,801","4,921","7,342","3,820","1,592"
Percent,"111,682",6.90%,6.90%,9.60%,6.80%,8.00%,13.80%,12.40%,12.80%,7.00%,4.40%,6.60%,3.40%,1.40%
"Napa city, California",,,,,,,,,,,,,,
Estimate,"80,412","4,007","5,057","5,727","5,047","4,406","10,381","10,561","10,605","5,565","4,605","8,004","4,394","2,053"
Percent,"80,412",5.00%,6.30%,7.10%,6.30%,5.50%,12.90%,13.10%,13.20%,6.90%,5.70%,10.00%,5.50%,2.60%
"Newport Beach city, California",,,,,,,,,,,,,,
Estimate,"86,683","4,389","3,388","5,128","3,285","4,563","12,924","10,088","10,466","6,740","6,087","10,572","5,628","3,425"
Percent,"86,683",5.10%,3.90%,5.90%,3.80%,5.30%,14.90%,11.60%,12.10%,7.80%,7.00%,12.20%,6.50%,4.00%
"Norwalk city, California",,,,,,,,,,,,,,
Estimate,"106,161","6,752","6,215","8,548","8,838","6,743","16,137","13,719","14,205","6,431","5,588","8,602","2,934","1,449"
Percent,"106,161",6.40%,5.90%,8.10%,8.30%,6.40%,15.20%,12.90%,13.40%,6.10%,5.30%,8.10%,2.80%,1.40%
"Oakland city, California",,,,,,,,,,,,,,
Estimate,"419,987","27,607","21,512","20,955","20,299","26,742","82,244","66,474","53,080","24,726","23,041","32,084","14,459","6,764"
Percent,"419,987",6.60%,5.10%,5.00%,4.80%,6.40%,19.60%,15.80%,12.60%,5.90%,5.50%,7.60%,3.40%,1.60%
"Oceanside city, California",,,,,,,,,,,,,,
Estimate,"175,441","11,725","10,768","10,936","9,454","12,513","26,924","20,126","20,006","13,661","9,965","17,243","8,104","4,016"
Percent,"175,441",6.70%,6.10%,6.20%,5.40%,7.10%,15.30%,11.50%,11.40%,7.80%,5.70%,9.80%,4.60%,2.30%
"Ontario city, California",,,,,,,,,,,,,,
Estimate,"173,211","11,613","13,669","12,652","12,087","13,306","27,996","24,548","23,794","9,722","7,710","9,847","3,759","2,508"
Percent,"173,211",6.70%,7.90%,7.30%,7.00%,7.70%,16.20%,14.20%,13.70%,5.60%,4.50%,5.70%,2.20%,1.40%
"Orange city, California",,,,,,,,,,,,,,
Estimate,"140,507","8,360","8,350","9,925","11,189","9,827","21,187","19,448","19,387","8,184","7,858","9,354","4,930","2,508"
Percent,"140,507",5.90%,5.90%,7.10%,8.00%,7.00%,15.10%,13.80%,13.80%,5.80%,5.60%,6.70%,3.50%,1.80%
"Oxnard city, California",,,,,,,,,,,,,,
Estimate,"207,911","15,199","17,433","17,890","14,065","15,838","30,982","29,802","25,593","10,568","9,768","12,086","6,210","2,477"
Percent,"207,911",7.30%,8.40%,8.60%,6.80%,7.60%,14.90%,14.30%,12.30%,5.10%,4.70%,5.80%,3.00%,1.20%
"Palmdale city, California",,,,,,,,,,,,,,
Estimate,"157,349","13,088","15,269","13,092","12,021","11,438","22,653","17,847","22,350","8,708","6,985","8,462","4,128","1,308"
Percent,"157,349",8.30%,9.70%,8.30%,7.60%,7.30%,14.40%,11.30%,14.20%,5.50%,4.40%,5.40%,2.60%,0.80%
"Palo Alto city, California",,,,,,,,,,,,,,
Estimate,"67,021","2,509","3,071","5,021","3,749","3,313","7,284","8,308","10,337","5,051","4,319","6,445","5,251","2,363"
Percent,"67,021",3.70%,4.60%,7.50%,5.60%,4.90%,10.90%,12.40%,15.40%,7.50%,6.40%,9.60%,7.80%,3.50%
"Pasadena city, California",,,,,,,,,,,,,,
Estimate,"142,052","9,792","7,410","4,410","5,973","9,316","25,462","21,045","17,182","11,635","7,738","11,908","6,980","3,201"
Percent,"142,052",6.90%,5.20%,3.10%,4.20%,6.60%,17.90%,14.80%,12.10%,8.20%,5.40%,8.40%,4.90%,2.30%
"Perris city, California",,,,,,,,,,,,,,
Estimate,"76,330","6,356","6,954","5,187","9,980","6,681","12,075","8,553","10,030","3,684","2,148","3,302",770,610
Percent,"76,330",8.30%,9.10%,6.80%,13.10%,8.80%,15.80%,11.20%,13.10%,4.80%,2.80%,4.30%,1.00%,0.80%
"Pittsburg city, California",,,,,,,,,,,,,,
Estimate,"70,677","5,514","5,958","5,369","3,980","4,998","10,581","9,932","9,050","3,840","3,835","5,456","1,750",414
Percent,"70,677",7.80%,8.40%,7.60%,5.60%,7.10%,15.00%,14.10%,12.80%,5.40%,5.40%,7.70%,2.50%,0.60%
"Pleasanton city, California",,,,,,,,,,,,,,
Estimate,"82,267","3,922","6,189","6,802","5,451","2,450","7,787","11,258","14,443","6,843","5,314","6,888","3,535","1,385"
Percent,"82,267",4.80%,7.50%,8.30%,6.60%,3.00%,9.50%,13.70%,17.60%,8.30%,6.50%,8.40%,4.30%,1.70%
"Pomona city, California",,,,,,,,,,,,,,
Estimate,"152,476","12,823","9,592","10,892","12,765","17,195","23,621","18,849","17,748","8,764","7,997","7,188","3,560","1,482"
