Year,City,Total population,Under 5 years,Percent Under 5 years,5 to 9 years,Percent 5 to 9 years,10 to 14 years,Percent 10 to 14 years,15 to 19 years,Percent 15 to 19 years,20 to 24 years,Percent 20 to 24 years,25 to 34 years,Percent 25 to 34 years,35 to 44 years,Percent 35 to 44 years,45 to 54 years,Percent 45 to 54 years,55 to 59 years,Percent 55 to 59 years,60 to 64 years,Percent 60 to 64 years,65 to 74 years,Percent 65 to 74 years,75 to 84 years,Percent 75 to 84 years,85 years and over,Percent 85 years and over
2015,Buena Park,"83,264","7,218",8.70%,"6,700",8.00%,"4,473",5.40%,"4,966",6.00%,"4,751",5.70%,"12,376",14.90%,"12,149",14.60%,"11,764",14.10%,"5,119",6.10%,"3,253",3.90%,"6,562",7.90%,"2,985",3.60%,948,1.10%
2015,Burbank,"105,314","8,711",8.30%,"6,054",5.70%,"4,678",4.40%,"6,368",6.00%,"5,387",5.10%,"17,849",16.90%,"13,924",13.20%,"16,334",15.50%,"6,221",5.90%,"5,249",5.00%,"7,982",7.60%,"4,669",4.40%,"1,888",1.80%
2015,Camarillo,"67,623","4,745",7.00%,"4,145",6.10%,"4,026",6.00%,"3,633",5.40%,"3,620",5.40%,"8,193",12.10%,"8,531",12.60%,"6,652",9.80%,"4,941",7.30%,"4,372",6.50%,"6,973",10.30%,"5,312",7.90%,"2,480",3.70%
2015,Carlsbad,"113,466","6,644",5.90%,"7,182",6.30%,"6,710",5.90%,"8,337",7.30%,"5,196",4.60%,"13,249",11.70%,"14,562",12.80%,"18,045",15.90%,"6,373",5.60%,"7,857",6.90%,"11,239",9.90%,"4,876",4.30%,"3,196",2.80%
2015,Carmichael,"63,215","3,878",6.10%,"3,303",5.20%,"4,123",6.50%,"3,433",5.40%,"3,687",5.80%,"7,847",12.40%,"8,372",13.20%,"7,179",11.40%,"4,785",7.60%,"4,821",7.60%,"6,318",10.00%,"3,403",5.40%,"2,066",3.30%
2015,Carson,"93,296","4,131",4.40%,"4,567",4.90%,"4,786",5.10%,"6,714",7.20%,"6,828",7.30%,"13,120",14.10%,"10,622",11.40%,"14,347",15.40%,"6,989",7.50%,"5,255",5.60%,"8,455",9.10%,"5,150",5.50%,"2,332",2.50%
2015,Chico,"90,336","4,914",5.40%,"4,302",4.80%,"4,706",5.20%,"8,091",9.00%,"15,795",17.50%,"12,732",14.10%,"10,696",11.80%,"9,242",10.20%,"3,748",4.10%,"4,178",4.60%,"6,963",7.70%,"3,273",3.60%,"1,696",1.90%
2015,Chino,"85,599","5,278",6.20%,"3,934",4.60%,"4,385",5.10%,"5,166",6.00%,"6,935",8.10%,"14,759",17.20%,"13,155",15.40%,"14,265",16.70%,"6,391",7.50%,"3,335",3.90%,"4,942",5.80%,"2,012",2.40%,"1,042",1.20%
2015,Chino Hills,"78,313","3,180",4.10%,"4,408",5.60%,"5,017",6.40%,"5,542",7.10%,"5,111",6.50%,"9,430",12.00%,"10,531",13.40%,"14,082",18.00%,"6,499",8.30%,"6,052",7.70%,"4,782",6.10%,"2,543",3.20%,"1,136",1.50%
2015,Chula Vista,"265,754","17,030",6.40%,"20,325",7.60%,"19,555",7.40%,"19,458",7.30%,"20,361",7.70%,"37,571",14.10%,"39,629",14.90%,"36,064",13.60%,"14,011",5.30%,"11,455",4.30%,"15,937",6.00%,"10,424",3.90%,"3,934",1.50%
2015,Citrus Heights,"87,053","5,621",6.50%,"5,939",6.80%,"4,288",4.90%,"4,818",5.50%,"6,341",7.30%,"13,629",15.70%,"10,107",11.60%,"11,294",13.00%,"5,361",6.20%,"5,023",5.80%,"8,257",9.50%,"4,744",5.40%,"1,631",1.90%
2015,Clovis,"104,172","5,251",5.00%,"6,948",6.70%,"8,533",8.20%,"6,746",6.50%,"6,433",6.20%,"14,747",14.20%,"13,249",12.70%,"13,578",13.00%,"7,560",7.30%,"5,777",5.50%,"9,571",9.20%,"4,161",4.00%,"1,618",1.60%
2015,Compton,"98,448","8,060",8.20%,"8,797",8.90%,"6,997",7.10%,"7,818",7.90%,"10,014",10.20%,"14,220",14.40%,"11,716",11.90%,"12,857",13.10%,"5,042",5.10%,"4,096",4.20%,"5,219",5.30%,"2,142",2.20%,"1,470",1.50%
2015,Concord,"128,668","7,230",5.60%,"8,328",6.50%,"7,441",5.80%,"6,299",4.90%,"6,617",5.10%,"19,406",15.10%,"20,628",16.00%,"17,319",13.50%,"10,741",8.30%,"7,930",6.20%,"9,851",7.70%,"4,741",3.70%,"2,137",1.70%
2015,Corona,"164,242","10,563",6.40%,"10,914",6.60%,"11,207",6.80%,"10,961",6.70%,"11,223",6.80%,"22,929",14.00%,"25,600",15.60%,"25,548",15.60%,"10,319",6.30%,"8,159",5.00%,"9,933",6.00%,"4,845",2.90%,"2,041",1.20%
2015,Costa Mesa,"113,186","6,262",5.50%,"5,984",5.30%,"5,828",5.10%,"7,027",6.20%,"8,227",7.30%,"23,884",21.10%,"17,397",15.40%,"13,235",11.70%,"7,247",6.40%,"6,664",5.90%,"6,775",6.00%,"3,132",2.80%,"1,524",1.30%
2015,Daly City,"106,574","4,854",4.60%,"4,477",4.20%,"4,350",4.10%,"4,761",4.50%,"8,840",8.30%,"18,279",17.20%,"14,927",14.00%,"16,889",15.80%,"6,568",6.20%,"7,212",6.80%,"7,884",7.40%,"5,535",5.20%,"1,998",1.90%
2015,Davis,"67,656","2,382",3.50%,"3,370",5.00%,"3,724",5.50%,"5,525",8.20%,"17,343",25.60%,"8,520",12.60%,"5,939",8.80%,"6,618",9.80%,"2,843",4.20%,"2,875",4.20%,"4,944",7.30%,"2,308",3.40%,"1,265",1.90%
2015,Downey,"114,211","5,669",5.00%,"5,492",4.80%,"8,458",7.40%,"8,143",7.10%,"10,181",8.90%,"16,222",14.20%,"16,486",14.40%,"15,603",13.70%,"8,570",7.50%,"7,229",6.30%,"6,799",6.00%,"3,367",2.90%,"1,992",1.70%
2015,East Los Angeles,"119,666","7,674",6.40%,"9,168",7.70%,"9,033",7.50%,"9,352",7.80%,"10,467",8.70%,"17,349",14.50%,"17,581",14.70%,"13,373",11.20%,"7,123",6.00%,"5,391",4.50%,"7,927",6.60%,"3,817",3.20%,"1,411",1.20%
2015,El Cajon,"103,688","8,604",8.30%,"7,611",7.30%,"7,054",6.80%,"6,373",6.10%,"8,017",7.70%,"16,736",16.10%,"13,737",13.20%,"14,155",13.70%,"5,191",5.00%,"5,709",5.50%,"4,699",4.50%,"4,032",3.90%,"1,770",1.70%
2015,Elk Grove,"166,890","11,123",6.70%,"13,694",8.20%,"12,034",7.20%,"11,360",6.80%,"13,185",7.90%,"19,922",11.90%,"23,792",14.30%,"24,953",15.00%,"11,946",7.20%,"8,378",5.00%,"9,062",5.40%,"5,179",3.10%,"2,262",1.40%
2015,El Monte,"116,745","6,525",5.60%,"7,567",6.50%,"6,958",6.00%,"7,855",6.70%,"9,469",8.10%,"17,776",15.20%,"13,747",11.80%,"15,699",13.40%,"8,935",7.70%,"5,881",5.00%,"9,475",8.10%,"4,384",3.80%,"2,474",2.10%
2015,Escondido,"151,458","13,300",8.80%,"9,017",6.00%,"8,182",5.40%,"9,127",6.00%,"13,729",9.10%,"26,894",17.80%,"17,500",11.60%,"19,235",12.70%,"8,778",5.80%,"7,026",4.60%,"10,698",7.10%,"5,891",3.90%,"2,081",1.40%
2015,Fairfield,"112,972","7,472",6.60%,"9,309",8.20%,"8,077",7.10%,"7,885",7.00%,"7,771",6.90%,"16,630",14.70%,"14,088",12.50%,"15,973",14.10%,"7,130",6.30%,"6,018",5.30%,"7,540",6.70%,"3,817",3.40%,"1,262",1.10%
2015,Florence-Graham,"66,359","4,362",6.60%,"6,212",9.40%,"5,982",9.00%,"5,895",8.90%,"5,235",7.90%,"10,829",16.30%,"9,531",14.40%,"8,669",13.10%,"2,570",3.90%,"2,773",4.20%,"2,700",4.10%,"1,084",1.60%,517,0.80%
2015,Folsom,"76,368","3,933",5.20%,"5,107",6.70%,"5,134",6.70%,"4,963",6.50%,"2,817",3.70%,"9,334",12.20%,"12,848",16.80%,"13,748",18.00%,"5,382",7.00%,"4,703",6.20%,"5,752",7.50%,"1,733",2.30%,914,1.20%
2015,Fontana,"207,472","16,501",8.00%,"18,962",9.10%,"18,196",8.80%,"18,190",8.80%,"16,398",7.90%,"32,615",15.70%,"30,715",14.80%,"28,067",13.50%,"9,608",4.60%,"6,557",3.20%,"6,977",3.40%,"3,587",1.70%,"1,099",0.50%
2015,Fremont,"232,191","13,890",6.00%,"15,270",6.60%,"13,129",5.70%,"14,386",6.20%,"12,452",5.40%,"34,638",14.90%,"39,224",16.90%,"33,647",14.50%,"17,147",7.40%,"12,010",5.20%,"13,294",5.70%,"9,528",4.10%,"3,576",1.50%
2015,Fresno,"520,072","47,843",9.20%,"42,004",8.10%,"39,090",7.50%,"38,711",7.40%,"44,890",8.60%,"85,813",16.50%,"59,923",11.50%,"60,026",11.50%,"28,651",5.50%,"20,624",4.00%,"30,709",5.90%,"13,622",2.60%,"8,166",1.60%
2015,Fullerton,"140,849","7,973",5.70%,"8,753",6.20%,"8,093",5.70%,"10,682",7.60%,"13,800",9.80%,"22,047",15.70%,"17,096",12.10%,"19,067",13.50%,"9,886",7.00%,"5,643",4.00%,"8,695",6.20%,"5,569",4.00%,"3,545",2.50%
2015,Garden Grove,"175,384","9,305",5.30%,"10,392",5.90%,"11,168",6.40%,"12,487",7.10%,"12,737",7.30%,"24,948",14.20%,"23,480",13.40%,"25,460",14.50%,"11,993",6.80%,"9,455",5.40%,"14,411",8.20%,"6,778",3.90%,"2,770",1.60%
2015,Glendale,"201,025","9,845",4.90%,"9,414",4.70%,"8,106",4.00%,"8,290",4.10%,"12,339",6.10%,"32,182",16.00%,"27,177",13.50%,"28,116",14.00%,"17,137",8.50%,"15,072",7.50%,"16,964",8.40%,"11,434",5.70%,"4,949",2.50%
2015,Hawthorne,"88,444","6,757",7.60%,"6,917",7.80%,"5,671",6.40%,"5,053",5.70%,"6,632",7.50%,"15,861",17.90%,"13,153",14.90%,"11,680",13.20%,"5,442",6.20%,"3,447",3.90%,"4,566",5.20%,"2,653",3.00%,612,0.70%
2015,Hayward,"158,300","11,598",7.30%,"9,878",6.20%,"9,487",6.00%,"8,033",5.10%,"12,392",7.80%,"29,573",18.70%,"22,379",14.10%,"19,615",12.40%,"10,676",6.70%,"7,085",4.50%,"9,481",6.00%,"5,643",3.60%,"2,460",1.60%
2015,Hemet,"83,873","6,829",8.10%,"5,704",6.80%,"7,203",8.60%,"6,257",7.50%,"5,637",6.70%,"8,549",10.20%,"9,345",11.10%,"8,696",10.40%,"3,747",4.50%,"4,956",5.90%,"7,896",9.40%,"6,214",7.40%,"2,840",3.40%
2015,Hesperia,"93,286","8,017",8.60%,"7,570",8.10%,"9,166",9.80%,"6,989",7.50%,"8,068",8.60%,"13,062",14.00%,"10,308",11.00%,"11,391",12.20%,"4,929",5.30%,"4,517",4.80%,"5,825",6.20%,"2,755",3.00%,689,0.70%
2015,Huntington Beach,"201,927","10,639",5.30%,"11,714",5.80%,"12,261",6.10%,"9,855",4.90%,"9,708",4.80%,"28,465",14.10%,"27,466",13.60%,"31,031",15.40%,"14,786",7.30%,"12,553",6.20%,"20,360",10.10%,"9,589",4.70%,"3,500",1.70%
2015,Indio,"87,526","4,764",5.40%,"6,259",7.20%,"8,116",9.30%,"6,810",7.80%,"5,440",6.20%,"11,253",12.90%,"13,264",15.20%,"9,591",11.00%,"4,515",5.20%,"3,938",4.50%,"7,965",9.10%,"4,096",4.70%,"1,515",1.70%
2015,Inglewood,"111,656","6,569",5.90%,"9,962",8.90%,"6,330",5.70%,"7,574",6.80%,"7,915",7.10%,"17,728",15.90%,"15,398",13.80%,"14,372",12.90%,"5,803",5.20%,"6,403",5.70%,"8,609",7.70%,"3,531",3.20%,"1,462",1.30%
2015,Irvine,"256,927","13,294",5.20%,"16,177",6.30%,"13,186",5.10%,"21,879",8.50%,"24,714",9.60%,"40,826",15.90%,"36,001",14.00%,"38,594",15.00%,"14,293",5.60%,"12,238",4.80%,"15,274",5.90%,"7,736",3.00%,"2,715",1.10%
2015,Jurupa Valley,"100,314","7,118",7.10%,"6,814",6.80%,"6,739",6.70%,"8,062",8.00%,"9,803",9.80%,"13,328",13.30%,"11,305",11.30%,"14,065",14.00%,"6,160",6.10%,"5,972",6.00%,"6,809",6.80%,"2,866",2.90%,"1,273",1.30%
2015,Laguna Niguel,"65,812","3,729",5.70%,"3,255",4.90%,"3,702",5.60%,"3,782",5.70%,"3,190",4.80%,"7,046",10.70%,"7,063",10.70%,"10,993",16.70%,"6,521",9.90%,"5,312",8.10%,"6,462",9.80%,"3,708",5.60%,"1,049",1.60%
2015,Lake Forest,"82,497","5,312",6.40%,"5,175",6.30%,"4,583",5.60%,"4,573",5.50%,"4,429",5.40%,"11,977",14.50%,"11,134",13.50%,"13,916",16.90%,"5,935",7.20%,"4,544",5.50%,"6,703",8.10%,"3,223",3.90%,993,1.20%
2015,Lakewood,"81,592","5,073",6.20%,"4,421",5.40%,"5,032",6.20%,"5,617",6.90%,"4,697",5.80%,"9,492",11.60%,"13,193",16.20%,"13,614",16.70%,"5,626",6.90%,"4,052",5.00%,"6,548",8.00%,"3,087",3.80%,"1,140",1.40%
2015,Lancaster,"161,113","11,871",7.40%,"12,234",7.60%,"13,730",8.50%,"12,668",7.90%,"11,475",7.10%,"27,162",16.90%,"20,078",12.50%,"20,217",12.50%,"9,690",6.00%,"7,332",4.60%,"10,033",6.20%,"3,452",2.10%,"1,171",0.70%
2015,Livermore,"88,117","6,237",7.10%,"5,938",6.70%,"7,203",8.20%,"4,091",4.60%,"4,908",5.60%,"13,057",14.80%,"11,576",13.10%,"12,667",14.40%,"7,042",8.00%,"5,580",6.30%,"6,002",6.80%,"2,716",3.10%,"1,100",1.20%
2015,Long Beach,"474,172","33,036",7.00%,"30,037",6.30%,"28,078",5.90%,"31,633",6.70%,"35,324",7.40%,"82,214",17.30%,"62,875",13.30%,"65,856",13.90%,"28,867",6.10%,"23,093",4.90%,"32,532",6.90%,"13,829",2.90%,"6,798",1.40%
2015,Los Angeles,"3,971,896","255,499",6.40%,"226,506",5.70%,"228,671",5.80%,"252,408",6.40%,"320,897",8.10%,"704,854",17.70%,"568,885",14.30%,"528,054",13.30%,"228,331",5.70%,"199,731",5.00%,"255,534",6.40%,"139,391",3.50%,"63,135",1.60%
2015,Lynwood,"72,005","5,890",8.20%,"5,433",7.50%,"6,079",8.40%,"5,350",7.40%,"6,822",9.50%,"13,177",18.30%,"9,306",12.90%,"8,695",12.10%,"3,471",4.80%,"2,199",3.10%,"3,653",5.10%,"1,795",2.50%,135,0.20%
2015,Manteca,"75,450","5,542",7.30%,"5,556",7.40%,"6,029",8.00%,"5,454",7.20%,"5,049",6.70%,"9,887",13.10%,"10,336",13.70%,"11,429",15.10%,"4,905",6.50%,"3,045",4.00%,"3,772",5.00%,"3,041",4.00%,"1,405",1.90%
2015,Menifee,"87,163","6,589",7.60%,"7,037",8.10%,"6,112",7.00%,"6,244",7.20%,"4,506",5.20%,"10,571",12.10%,"10,338",11.90%,"10,270",11.80%,"6,100",7.00%,"4,873",5.60%,"7,552",8.70%,"5,587",6.40%,"1,384",1.60%
2015,Merced,"82,440","7,608",9.20%,"8,540",10.40%,"6,079",7.40%,"5,445",6.60%,"8,275",10.00%,"12,291",14.90%,"9,214",11.20%,"9,338",11.30%,"3,322",4.00%,"3,396",4.10%,"5,748",7.00%,"2,242",2.70%,942,1.10%
2015,Milpitas,"77,617","5,705",7.40%,"4,789",6.20%,"4,431",5.70%,"3,871",5.00%,"5,116",6.60%,"11,727",15.10%,"12,829",16.50%,"11,810",15.20%,"4,638",6.00%,"2,821",3.60%,"5,283",6.80%,"3,025",3.90%,"1,572",2.00%
2015,Mission Viejo,"97,163","4,210",4.30%,"4,907",5.10%,"5,506",5.70%,"5,523",5.70%,"7,251",7.50%,"10,606",10.90%,"10,643",11.00%,"17,718",18.20%,"7,260",7.50%,"5,164",5.30%,"10,811",11.10%,"5,161",5.30%,"2,403",2.50%
2015,Modesto,"211,257","14,694",7.00%,"15,286",7.20%,"15,042",7.10%,"14,972",7.10%,"16,960",8.00%,"28,113",13.30%,"25,726",12.20%,"26,190",12.40%,"13,895",6.60%,"11,978",5.70%,"16,397",7.80%,"7,686",3.60%,"4,318",2.00%
2015,Moreno Valley,"204,181","14,956",7.30%,"15,124",7.40%,"15,469",7.60%,"18,872",9.20%,"18,789",9.20%,"30,999",15.20%,"27,882",13.70%,"25,315",12.40%,"11,648",5.70%,"7,963",3.90%,"11,027",5.40%,"4,990",2.40%,"1,147",0.60%
2015,Mountain View,"80,438","6,134",7.60%,"5,054",6.30%,"4,307",5.40%,"3,498",4.30%,"5,485",6.80%,"18,454",22.90%,"12,488",15.50%,"10,343",12.90%,"4,671",5.80%,"3,266",4.10%,"4,207",5.20%,"1,805",2.20%,726,0.90%
2015,Murrieta,"109,816","6,668",6.10%,"6,403",5.80%,"9,921",9.00%,"10,132",9.20%,"8,823",8.00%,"12,592",11.50%,"13,565",12.40%,"17,606",16.00%,"6,473",5.90%,"4,863",4.40%,"6,892",6.30%,"4,488",4.10%,"1,390",1.30%
2015,Napa,"80,429","5,259",6.50%,"5,246",6.50%,"5,766",7.20%,"4,551",5.70%,"5,276",6.60%,"10,439",13.00%,"11,634",14.50%,"10,415",12.90%,"5,809",7.20%,"4,392",5.50%,"6,218",7.70%,"3,319",4.10%,"2,105",2.60%
2015,Newport Beach,"87,131","2,663",3.10%,"3,915",4.50%,"5,205",6.00%,"5,208",6.00%,"4,473",5.10%,"9,986",11.50%,"8,949",10.30%,"14,728",16.90%,"6,649",7.60%,"5,309",6.10%,"11,272",12.90%,"5,858",6.70%,"2,916",3.30%
2015,Norwalk,"107,145","7,656",7.10%,"6,972",6.50%,"7,083",6.60%,"6,377",6.00%,"10,062",9.40%,"15,357",14.30%,"14,601",13.60%,"14,283",13.30%,"8,076",7.50%,"6,060",5.70%,"6,207",5.80%,"3,037",2.80%,"1,374",1.30%
2015,Oakland,"419,278","25,663",6.10%,"24,044",5.70%,"22,552",5.40%,"22,030",5.30%,"26,615",6.30%,"82,381",19.60%,"65,678",15.70%,"54,832",13.10%,"24,593",5.90%,"21,760",5.20%,"30,274",7.20%,"11,947",2.80%,"6,909",1.60%
2015,Oceanside,"175,714","9,659",5.50%,"9,754",5.60%,"9,697",5.50%,"13,050",7.40%,"11,101",6.30%,"24,803",14.10%,"23,223",13.20%,"22,073",12.60%,"11,854",6.70%,"13,400",7.60%,"14,543",8.30%,"8,383",4.80%,"4,174",2.40%
2015,Ontario,"171,200","12,440",7.30%,"14,961",8.70%,"13,861",8.10%,"13,413",7.80%,"13,928",8.10%,"26,223",15.30%,"26,986",15.80%,"21,083",12.30%,"8,120",4.70%,"7,478",4.40%,"8,200",4.80%,"2,837",1.70%,"1,670",1.00%
2015,Orange,"140,995","9,649",6.80%,"7,231",5.10%,"7,548",5.40%,"9,901",7.00%,"12,906",9.20%,"23,298",16.50%,"17,098",12.10%,"19,568",13.90%,"9,241",6.60%,"7,591",5.40%,"9,754",6.90%,"4,488",3.20%,"2,722",1.90%
2015,Oxnard,"207,252","16,096",7.80%,"17,726",8.60%,"15,983",7.70%,"15,737",7.60%,"17,024",8.20%,"33,464",16.10%,"27,072",13.10%,"26,441",12.80%,"10,882",5.30%,"7,306",3.50%,"11,531",5.60%,"5,950",2.90%,"2,040",1.00%
2015,Palmdale,"158,350","13,766",8.70%,"13,167",8.30%,"11,968",7.60%,"12,695",8.00%,"11,080",7.00%,"20,474",12.90%,"18,774",11.90%,"21,555",13.60%,"11,244",7.10%,"8,493",5.40%,"8,538",5.40%,"5,075",3.20%,"1,521",1.00%
2015,Palo Alto,"66,848","3,714",5.60%,"3,735",5.60%,"5,163",7.70%,"4,655",7.00%,"2,711",4.10%,"7,209",10.80%,"11,168",16.70%,"9,799",14.70%,"3,394",5.10%,"3,506",5.20%,"6,577",9.80%,"2,743",4.10%,"2,474",3.70%
2015,Pasadena,"142,246","9,808",6.90%,"7,400",5.20%,"7,572",5.30%,"6,543",4.60%,"8,460",5.90%,"24,221",17.00%,"21,943",15.40%,"18,451",13.00%,"7,354",5.20%,"8,654",6.10%,"11,838",8.30%,"6,505",4.60%,"3,497",2.50%
2015,Perris,"74,959","6,523",8.70%,"6,605",8.80%,"8,411",11.20%,"6,328",8.40%,"7,667",10.20%,"10,510",14.00%,"10,561",14.10%,"9,770",13.00%,"2,861",3.80%,"1,679",2.20%,"2,506",3.30%,"1,109",1.50%,429,0.60%
2015,Pittsburg,"69,427","5,471",7.90%,"5,010",7.20%,"3,977",5.70%,"4,316",6.20%,"5,999",8.60%,"10,776",15.50%,"9,312",13.40%,"10,502",15.10%,"4,848",7.00%,"3,033",4.40%,"3,815",5.50%,"1,777",2.60%,591,0.90%
2015,Pleasanton,"79,519","3,385",4.30%,"6,144",7.70%,"7,466",9.40%,"6,121",7.70%,"3,391",4.30%,"6,685",8.40%,"11,016",13.90%,"15,538",19.50%,"5,470",6.90%,"3,997",5.00%,"5,906",7.40%,"3,024",3.80%,"1,376",1.70%
2015,Pomona,"153,252","12,213",8.00%,"9,464",6.20%,"10,635",6.90%,"12,516",8.20%,"14,190",9.30%,"23,102",15.10%,"21,478",14.00%,"18,971",12.40%,"7,676",5.00%,"7,053",4.60%,"9,171",6.00%,"4,241",2.80%,"2,542",1.70%
2015,Rancho Cordova,"71,026","4,464",6.30%,"5,668",8.00%,"5,006",7.00%,"3,903",5.50%,"4,006",5.60%,"13,892",19.60%,"9,200",13.00%,"9,765",13.70%,"3,815",5.40%,"3,117",4.40%,"4,303",6.10%,"2,920",4.10%,967,1.40%
2015,Rancho Cucamonga,"175,232","10,493",6.00%,"12,499",7.10%,"13,414",7.70%,"13,293",7.60%,"15,084",8.60%,"23,924",13.70%,"22,589",12.90%,"25,235",14.40%,"12,451",7.10%,"9,624",5.50%,"11,280",6.40%,"3,977",2.30%,"1,369",0.80%
2015,Redding,"91,579","5,111",5.60%,"6,110",6.70%,"4,792",5.20%,"5,838",6.40%,"6,796",7.40%,"13,020",14.20%,"8,810",9.60%,"11,758",12.80%,"5,810",6.30%,"5,411",5.90%,"10,117",11.00%,"5,239",5.70%,"2,767",3.00%
2015,Redlands,"71,028","5,275",7.40%,"3,330",4.70%,"5,103",7.20%,"5,003",7.00%,"5,683",8.00%,"10,052",14.20%,"8,191",11.50%,"8,271",11.60%,"4,015",5.70%,"5,558",7.80%,"6,311",8.90%,"3,032",4.30%,"1,204",1.70%
2015,Redondo Beach,"68,185","4,152",6.10%,"3,159",4.60%,"3,517",5.20%,"2,211",3.20%,"2,581",3.80%,"10,458",15.30%,"10,571",15.50%,"13,039",19.10%,"5,743",8.40%,"4,299",6.30%,"5,098",7.50%,"2,521",3.70%,836,1.20%
2015,Redwood City,"85,300","5,750",6.70%,"4,980",5.80%,"5,071",5.90%,"4,631",5.40%,"4,859",5.70%,"13,962",16.40%,"12,483",14.60%,"12,495",14.60%,"6,020",7.10%,"4,103",4.80%,"6,653",7.80%,"2,597",3.00%,"1,696",2.00%
2015,Rialto,"103,137","7,235",7.00%,"6,877",6.70%,"7,785",7.50%,"8,895",8.60%,"8,703",8.40%,"17,625",17.10%,"14,265",13.80%,"13,080",12.70%,"5,139",5.00%,"4,782",4.60%,"5,650",5.50%,"2,628",2.50%,473,0.50%
2015,Richmond,"109,715","7,406",6.80%,"7,230",6.60%,"5,584",5.10%,"6,283",5.70%,"7,503",6.80%,"20,240",18.40%,"15,076",13.70%,"14,180",12.90%,"6,860",6.30%,"5,476",5.00%,"8,304",7.60%,"4,025",3.70%,"1,548",1.40%
2015,Riverside,"322,423","20,012",6.20%,"24,613",7.60%,"19,904",6.20%,"25,990",8.10%,"33,649",10.40%,"55,284",17.10%,"40,180",12.50%,"38,641",12.00%,"17,059",5.30%,"14,065",4.40%,"20,018",6.20%,"9,645",3.00%,"3,363",1.00%
2015,Roseville,"130,282","8,371",6.40%,"8,560",6.60%,"7,675",5.90%,"9,377",7.20%,"8,231",6.30%,"16,156",12.40%,"18,803",14.40%,"17,995",13.80%,"7,188",5.50%,"7,582",5.80%,"10,706",8.20%,"6,094",4.70%,"3,544",2.70%
